Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
32	-275.4375	6.4684234	-258.9	-280.6	100.0	325.0	0.0	-6.9849193e-09	0.17288859	-0.0019989116	-0.0035535116	2.3592308	0.009236058	0.045925	49.0	983.1944532394409
33	-274.8375	3.5220523	-270.7	-280.2	100.0	333.0	0.0	9.313226e-10	0.18888159	-0.0025687923	-0.013189007	2.300168	0.010348029	0.0387	49.0	1012.1673231124878
34	-276.71252	2.54997	-272.7	-279.7	100.0	341.0	0.0	3.7252903e-09	0.15763712	-0.0022490355	-0.020240914	2.224395	0.00879118	0.030225001	49.0	1040.02810049057
35	-277.375	2.5377123	-273.30002	-280.1	100.0	349.0	0.0	-1.4901161e-08	0.075130194	-0.0022155042	-0.009708893	2.1410913	0.006594836	0.0203875	49.0	1068.8847801685333
36	-277.125	2.4570103	-273.15	-280.1	100.0	357.0	0.0	-8.1490725e-10	0.07772042	-0.0031104945	-0.002999873	2.1349092	0.011391427	0.0377125	49.0	1096.862859249115
37	-279.475	0.8511051	-277.75	-280.55002	100.0	365.0	0.0	-2.0489097e-08	0.15314668	-0.0025554001	-0.06835943	2.1699374	0.006784872	0.0159625	49.0	1126.1766283512115
38	-277.86874	1.9741973	-274.1	-280.0	100.0	373.0	0.0	2.3283064e-09	0.12123664	-0.0021741842	-0.019482654	2.162383	0.008729548	0.0231	49.0	1154.484058380127
39	-278.44376	1.5146012	-276.7	-280.7	100.0	381.0	0.0	-2.3283064e-10	0.112380415	-0.0023866338	-0.0052743256	2.0951657	0.009254254	0.0229125	49.0	1182.8137962818146
40	-278.675	1.2874417	-276.65	-280.2	100.0	389.0	0.0	9.313226e-10	0.13501802	-0.002699336	-0.029764824	2.0260193	0.0106804315	0.103525	49.0	1211.880776166916
41	-278.6375	1.7726701	-275.9	-280.6	100.0	397.0	0.0	-1.8626451e-09	0.07926255	-0.0024638397	-0.0051665776	2.0530438	0.01189192	0.0593125	49.0	1240.0624437332153
42	-278.4875	1.1968018	-277.1	-280.65	100.0	405.0	0.0	-1.3969839e-09	0.13508207	-0.0019003771	-0.051451653	2.0955935	0.010310496	0.020125002	49.0	1268.9478073120117
43	-280.0	0.36141807	-279.45	-280.75	100.0	413.0	0.0	5.5879354e-09	0.14243409	-0.0019417575	-0.04125733	2.127777	0.00874381	0.0638875	49.0	1290.6467328071594
44	-279.16876	1.00528	-277.25	-280.0	100.0	421.0	0.0	-9.313226e-10	0.16215101	-0.002020833	-0.028029379	2.1312928	0.008253317	0.039212503	49.0	1318.4275195598602
45	-279.91876	0.4358432	-278.85	-280.5	100.0	429.0	0.0	-8.381903e-09	0.15444103	-0.0022001886	-0.0014989655	2.0723453	0.009382213	0.0317375	49.0	1347.1704535484314
46	-280.05	0.050003055	-280.0	-280.1	100.0	437.0	0.0	1.21071935e-08	0.13547353	-0.0024981215	-0.01041344	2.0862148	0.008265872	0.0544875	49.0	1375.153258562088
47	-278.48126	2.6035943	-271.85	-280.0	100.0	445.0	0.0	-6.519258e-09	0.17093378	-0.0021794764	-0.0014284896	2.101103	0.009261625	0.0514625	49.0	1403.3198947906494
48	-279.1875	0.6748807	-277.95	-280.1	100.0	453.0	0.0	-1.8626451e-09	0.1536696	-0.0025003587	-0.0022558682	2.0766582	0.006899771	0.0124375	49.0	1431.2616393566132
49	-280.06876	0.11973719	-280.0	-280.30002	100.0	461.0	0.0	-6.519258e-09	0.12867531	-0.0018017893	-0.0057191495	2.0437708	0.008846325	0.025362499	49.0	1459.7984483242035
50	-280.0125	0.033073913	-280.0	-280.1	100.0	469.0	0.0	8.381903e-09	0.12472448	-0.0021308288	-0.0022873692	2.0175362	0.008725988	0.0179875	49.0	1488.4346680641174
51	-279.4625	0.8369415	-277.65	-280.1	100.0	477.0	0.0	9.313226e-10	0.13400877	-0.0020526024	-0.0036319885	2.0157962	0.009214044	0.026812501	49.0	1516.63259267807
52	-280.0125	0.033073913	-280.0	-280.1	100.0	485.0	0.0	-7.450581e-09	0.11485742	-0.0013177147	-0.0035959613	1.9753665	0.005516396	0.0034875	49.0	1544.3913826942444
53	-279.7125	0.6598953	-278.05002	-280.2	100.0	493.0	0.0	-2.0954758e-09	0.15054691	-0.0023966744	-0.0018389998	1.9314361	0.010003507	0.033024997	49.0	1572.9208180904388
54	-280.0	0.0	-280.0	-280.0	100.0	501.0	0.0	1.3969839e-09	0.123884834	-0.0015606706	-0.01016019	1.918386	0.0052398294	0.0128875	49.0	1600.9356935024261
55	-279.59998	0.6543103	-278.35	-280.0	100.0	509.0	0.0	-3.7252903e-09	0.10648014	-0.0020196293	-0.0040982896	1.9072545	0.009197775	0.019125	49.0	1628.657818555832
