Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-337.58438	8.992354	-322.95	-351.6	100.0	16.0	12.0	5.8556907e-08	5.6751113	-0.0051842746	-4.446729	3.4898212	0.015022503	0.067375004	34.0	67.76604318618774
1	-335.39685	12.684481	-305.85	-357.35	100.0	32.0	1.0	-6.053597e-08	1.77114	-0.004006634	-0.67636317	3.4691296	0.015009949	0.050116666	40.0	104.61883068084717
2	-327.10938	7.18969	-314.9	-339.1	100.0	48.0	1.0	1.5774276e-08	1.1652532	-0.0030864205	-0.023403049	3.454288	0.013571639	0.04741667	49.0	142.93485021591187
3	-317.66565	7.79322	-304.30002	-334.25	100.0	64.0	1.0	-8.4983185e-09	1.0735761	-0.00301578	-0.05175081	3.4159832	0.013305503	0.0312	49.0	180.7136857509613
4	-314.7875	5.1562634	-305.5	-327.5	100.0	80.0	1.0	1.0128133e-08	0.92944515	-0.0033054934	-0.021337718	3.3813682	0.0146220485	0.049933337	49.0	217.50022864341736
5	-313.875	4.3958077	-306.0	-320.9	100.0	96.0	1.0	-2.5669578e-08	0.81689036	-0.0040836646	-0.021436758	3.342244	0.013046268	0.03673333	49.0	254.59205961227417
6	-307.42188	4.996404	-297.15	-313.9	100.0	112.0	3.0	1.0186341e-08	0.6659564	-0.005135325	-0.05778204	3.271629	0.014503662	0.19238333	49.0	298.8531701564789
7	-302.42813	5.373661	-292.05002	-310.30002	100.0	128.0	13.0	2.5785994e-08	0.6272514	-0.0056935847	-0.158261	3.1724489	0.0152170425	0.1418	35.0	371.6155550479889
8	-298.19064	4.100313	-290.45	-305.1	100.0	144.0	83.0	-8.614734e-09	0.6561625	-0.006609918	-0.25788736	3.043449	0.015146136	0.21201667	44.0	660.8271524906158
9	-294.64062	3.5418591	-286.15	-298.80002	100.0	160.0	243.0	-3.0035153e-08	0.7742398	-0.004617771	-0.3938999	2.8228822	0.014223017	0.10654166	49.0	1441.3698165416718
10	-291.65	4.7712064	-281.15	-298.65	100.0	176.0	239.0	0.0	0.47721922	-0.003391509	-0.043251403	2.6418004	0.008861127	0.037008334	49.0	2212.5748505592346
11	-291.1938	3.5612	-281.95	-297.85	100.0	192.0	1.0	2.0256266e-08	0.4758818	-0.004545146	-0.13977684	2.62913	0.010577014	0.102375	49.0	2249.993667125702
12	-290.1594	4.518549	-280.4	-296.05002	100.0	208.0	1.0	9.546056e-09	0.35493845	-0.0040897494	-0.016426448	2.5535815	0.013403676	0.0944	49.0	2287.128424882889
13	-291.0344	3.2169335	-282.75	-295.4	100.0	224.0	186.0	-1.8626451e-09	0.34905493	-0.004142521	-0.011913404	2.3972147	0.009917054	0.086525	49.0	2890.1261241436005
14	-289.8125	2.5105076	-285.1	-293.4	100.0	240.0	52.0	-1.6298145e-09	0.40617526	-0.0036923317	-0.038989834	2.37152	0.009767229	0.067091666	49.0	3087.4010305404663
15	-289.89688	2.4656641	-285.55002	-294.5	100.0	256.0	3.0	-8.381903e-09	0.38286567	-0.004434366	-0.028388739	2.3133483	0.010753741	0.097425	49.0	3135.2764382362366
