Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-279.15	6.5951767	-268.65	-291.6	100.0	15.0	0.0	-1.071021e-08	4.984135	-0.005508676	-3.6905367	3.467587	0.015003845	0.086349994	30.0	18.955183744430542
1	-280.28336	10.170742	-266.15	-299.05002	100.0	27.0	0.0	-2.6077032e-08	1.3787796	-0.0043580346	-0.15606976	3.453982	0.012763593	0.0592875	49.0	44.276689767837524
2	-275.5107	10.673283	-259.95	-297.1	100.0	41.0	0.0	7.450581e-09	1.1863701	-0.005038103	-0.02201458	3.4305017	0.014162712	0.064899996	49.0	74.75397109985352
3	-274.19583	11.866784	-255.85	-289.5	100.0	53.0	0.0	-3.7252903e-09	1.170213	-0.003816314	-0.030512169	3.4082665	0.01314035	0.035800003	49.0	105.99841213226318
4	-268.53464	10.094922	-250.7	-283.0	100.0	66.0	0.0	-9.313226e-09	1.0316808	-0.0040596873	-0.0376873	3.378839	0.01180172	0.0429375	49.0	138.07807970046997
5	-272.1091	6.4167647	-262.05002	-280.15	100.0	77.0	0.0	1.1175871e-08	1.0662496	-0.0044507524	-0.058370776	3.3638594	0.011042092	0.053675	49.0	168.86612367630005
6	-268.24643	8.446569	-254.45	-284.05002	100.0	91.0	0.0	1.1175871e-08	1.0694202	-0.0040789363	-0.0146809295	3.3273747	0.011922162	0.0564625	49.0	205.00070595741272
7	-268.24167	4.549302	-261.4	-275.65	100.0	103.0	0.0	-1.1175871e-08	1.0323665	-0.0045092925	-0.025022283	3.268976	0.011758665	0.0596	49.0	236.53721261024475
8	-261.57144	6.3603616	-247.0	-268.35	100.0	117.0	0.0	-9.313226e-10	0.87067163	-0.004132861	-0.067777306	3.2205105	0.008051081	0.0199125	49.0	271.5506145954132
9	-260.94376	7.696041	-245.45	-275.6	100.0	133.0	0.0	3.7252903e-09	0.6884894	-0.0034789355	-0.017340407	3.1861715	0.009532819	0.0589	49.0	308.18425035476685
10	-258.8219	7.368304	-241.25	-267.0	100.0	149.0	0.0	-3.1432137e-09	0.6044023	-0.004157449	-0.013987757	3.1266236	0.009575245	0.03435	49.0	344.3493630886078
11	-257.64062	9.3800535	-236.55	-269.80002	100.0	165.0	0.0	6.519258e-09	0.59865296	-0.0037812772	-0.0078511685	3.051454	0.009727877	0.035887502	49.0	380.5596613883972
12	-255.8375	6.2276735	-242.40001	-267.80002	100.0	181.0	0.0	1.3038516e-08	0.5624168	-0.0041669356	-0.008951418	3.0139205	0.0119236335	0.032475002	49.0	416.6482198238373
