Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-114.72096	6.328515	-96.15	-134.15001	80.0	20000	17.888733	2119.6216	-0.21741605	-1765.5642	3.4887815	33.811394	0.0207	1.0	85.25845956802368
1	-113.017136	7.510577	-90.4	-135.8	80.0	40000	3.1725068	336.30505	-0.07356873	-110.160446	3.488719	9.961725	0.0031499998	1.0	162.63372540473938
2	-114.45182	6.76579	-95.55	-134.35	80.0	60000	1.7897751	242.25693	-0.050489753	-40.16629	3.4883993	4.007827	0.00039999996	1.0	239.1245608329773
3	-113.689316	6.49763	-95.1	-133.1	80.0	80000	1.510061	212.0408	-0.04025054	-23.474367	3.4882278	4.6934986	0.00049999997	1.0	314.10574436187744
4	-114.35967	7.38591	-95.55	-139.75	80.0	100000	1.6101154	205.76686	-0.043084413	-21.933409	3.487891	3.9763565	0.00025	1.0	392.2698886394501
5	-113.268555	7.608859	-87.950005	-135.45	80.0	120000	1.125367	186.43558	-0.031724326	-17.389893	3.4874659	4.4917216	1e-04	1.0	471.8931062221527
6	-113.66714	6.8894615	-93.75	-129.05	80.0	140000	1.3990308	186.0641	-0.039931387	-15.832035	3.486981	4.500363	0.00035	1.0	552.8489971160889
7	-112.46352	7.368151	-92.450005	-132.95	80.0	160000	1.097433	177.9007	-0.025594592	-19.570665	3.4864454	2.0145452	0.00035	1.0	629.2881598472595
8	-112.74173	7.282039	-85.700005	-135.5	80.0	180000	1.1390177	175.04736	-0.028836042	-19.2803	3.4856138	4.4099216	0.0002	1.0	714.0506229400635
9	-112.84898	6.6556106	-92.9	-133.05	80.0	200000	1.0420531	170.89139	-0.037127435	-20.832235	3.4849048	5.059079	0.0009999999	1.0	791.9883177280426
10	-111.723175	7.2261677	-89.15	-129.95	80.0	220000	1.1145782	168.5098	-0.025615022	-25.558743	3.4840436	4.029573	0.00075	1.0	876.6533007621765
11	-111.7744	6.771656	-91.9	-132.90001	80.0	240000	1.1895454	160.20673	-0.016184323	-32.374268	3.483183	2.7944195	0.00049999997	1.0	951.5995697975159
12	-111.98025	7.7672777	-86.8	-135.90001	80.0	260000	1.1119529	156.44681	-0.038739324	-38.35244	3.482355	5.059526	0.0009	1.0	1043.8579230308533
13	-110.55464	7.009082	-92.05	-128.95	80.0	280000	0.9520669	154.24388	-0.027744994	-48.86509	3.4812403	3.0685625	0.00085	1.0	1135.8775372505188
14	-110.22177	6.465528	-88.950005	-128.25	80.0	300000	0.85708994	149.26808	-0.030596845	-53.99889	3.480197	5.9741616	0.0014	1.0	1224.4044382572174
15	-109.551	7.3421745	-87.9	-134.85	80.0	320000	0.81921506	146.83127	-0.018094111	-58.78688	3.4791496	4.1954336	0.00065000006	1.0	1308.402602672577
16	-109.25605	6.978186	-92.35	-131.6	80.0	340000	0.8876585	145.34305	-0.02199778	-62.18005	3.47795	2.399322	0.0009999999	1.0	1396.873987197876
