Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	MeanDiff	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
32	6.464457	19.33233	52.85	-31.45	80.0	2478.0	0.0	4.307367e-09	5.4330807	-0.016303234	-0.35306144	2.559308	0.006809227	0.0888375	49.0	494.6293339729309
33	7.0041656	19.785994	43.899998	-41.5	80.0	2562.0	0.0	4.656613e-09	6.626258	-0.016569152	-0.43411824	2.5298033	0.008385658	0.092787504	49.0	510.14944648742676
34	10.120832	21.441921	46.1	-44.65	80.0	2646.0	0.0	1.8626451e-09	6.278842	-0.016224999	-0.39743775	2.4937153	0.007690801	0.0867375	49.0	525.4688415527344
35	10.809637	24.05569	60.3	-40.600002	80.0	2729.0	0.0	-1.8626451e-09	6.7336206	-0.016179789	-0.46785778	2.4795985	0.0073900586	0.0854875	49.0	540.8956863880157
36	12.096551	21.25807	54.8	-47.55	80.0	2816.0	0.0	6.9849193e-09	6.0057745	-0.015915606	-0.42565852	2.446779	0.007912104	0.085724995	49.0	556.4521536827087
37	16.404705	22.918932	62.7	-44.75	80.0	2901.0	0.0	0.0	6.434167	-0.016201869	-0.42242146	2.4320495	0.007931455	0.085975	49.0	571.8221302032471
38	18.326136	21.455475	66.8	-31.25	80.0	2989.0	0.0	-8.4983185e-09	7.1487513	-0.015904628	-0.44869047	2.3801813	0.008583654	0.087400004	49.0	587.2628557682037
39	17.59138	19.053936	67.7	-30.300001	80.0	3076.0	0.0	-1.8626451e-09	8.0663	-0.015875679	-0.56077236	2.3662572	0.008050952	0.089324996	49.0	602.724359035492
40	21.086931	19.896128	59.5	-22.75	80.0	3164.0	0.0	-7.566996e-10	7.2644835	-0.016168669	-0.46843916	2.3506901	0.008753814	0.0940875	49.0	618.256502866745
41	21.609196	23.79908	76.6	-35.9	80.0	3251.0	0.0	-4.8894435e-09	9.23057	-0.015397131	-0.5702206	2.3144546	0.007454914	0.085375	49.0	633.8168692588806
42	18.705618	21.858877	70.95	-39.3	80.0	3340.0	0.0	0.0	7.5725746	-0.01491271	-0.5588397	2.291657	0.0070207277	0.0827	49.0	649.5265071392059
43	28.635391	22.106894	85.4	-32.7	80.0	3429.0	0.0	6.0535967e-09	10.005695	-0.014930728	-0.73612446	2.2573485	0.007791577	0.0817625	49.0	665.1628339290619
44	25.577013	24.649021	73.7	-37.7	80.0	3516.0	0.0	8.1490725e-09	9.213246	-0.014964143	-0.57891357	2.2499862	0.007706081	0.0810875	49.0	680.8138809204102
45	29.32443	22.928324	73.2	-26.0	80.0	3604.0	0.0	-1.3969839e-09	9.801059	-0.014824048	-0.629892	2.22477	0.007249295	0.0891375	49.0	696.4728310108185
46	30.003931	22.042473	67.799995	-28.95	80.0	3693.0	0.0	-3.7252903e-09	9.125357	-0.014650693	-0.52227956	2.2039661	0.007476998	0.080612496	49.0	712.0368754863739
47	34.13068	23.545376	77.45	-30.15	80.0	3781.0	0.0	5.5879354e-09	11.559943	-0.014320713	-0.78378916	2.1518538	0.008147312	0.08301251	49.0	727.5333635807037
48	34.48202	25.191612	82.15	-16.750002	80.0	3870.0	0.0	5.355105e-09	10.929806	-0.014509617	-0.71799093	2.132546	0.007919807	0.089575	49.0	743.1319355964661
49	35.47784	25.425467	87.4	-31.2	80.0	3958.0	0.0	-1.9790605e-09	11.245369	-0.014037159	-0.7732228	2.1120281	0.007581072	0.0737625	49.0	758.6693215370178
50	38.988888	25.819632	86.1	-36.2	80.0	4048.0	0.0	0.0	12.068352	-0.014267085	-0.7892401	2.0746984	0.0076814834	0.0762375	49.0	774.455127954483
51	37.16705	24.068914	89.049995	-14.800001	80.0	4136.0	0.0	5.355105e-09	11.442325	-0.014015334	-0.8887036	2.0774179	0.0071864757	0.082049996	49.0	790.0522708892822
52	40.216667	27.2102	88.049995	-38.65	80.0	4226.0	0.0	1.21071935e-08	12.5138645	-0.014255252	-0.9630772	2.043878	0.007639123	0.088337496	49.0	806.2058503627777
53	44.806664	22.086369	105.5	-25.2	79.37778	4316.0	0.0	7.450581e-09	11.891225	-0.014267968	-0.90446305	2.0605483	0.00882707	0.091975	49.0	821.7955942153931
54	45.53111	26.142809	95.4	-22.15	79.72222	4406.0	0.0	5.122274e-09	12.828148	-0.014466016	-0.96330166	2.0478966	0.0073784697	0.088825	49.0	837.5824756622314
55	50.65752	26.675182	113.95	-0.15000065	78.36559	4499.0	0.0	1.0244548e-08	14.101081	-0.014258042	-1.2891887	2.0038981	0.00762771	0.0847	49.0	853.3177876472473
56	46.274155	22.382486	85.45	-13.750001	80.0	4588.0	0.0	4.8894435e-09	13.936753	-0.0137683805	-1.2064638	2.016748	0.007289435	0.0806625	49.0	868.9612052440643
57	42.819317	25.849901	96.799995	-16.4	79.829544	4676.0	0.0	-7.450581e-09	12.515829	-0.013744237	-0.9527868	2.0051138	0.008044081	0.082650006	49.0	884.7901604175568
58	51.0517	23.246922	96.0	-26.900002	79.90909	4764.0	0.0	-1.8626451e-09	12.739149	-0.014522716	-0.82666075	1.9956018	0.008091201	0.089675	49.0	900.4688591957092
59	52.871346	27.242567	104.8	-23.000002	79.05618	4853.0	0.0	9.778887e-09	13.445504	-0.01400405	-1.010651	1.9535286	0.0072935917	0.0810375	49.0	916.1712732315063
60	50.13	28.641632	112.7	-12.1	78.111115	4943.0	0.0	-6.9849193e-09	11.555789	-0.013707105	-0.8812516	1.9461994	0.0073198127	0.0789375	49.0	931.6878020763397
61	57.002174	25.899986	114.65	-11.000001	78.184784	5035.0	0.0	-3.7252903e-09	13.043725	-0.013419222	-0.91600513	1.9324943	0.007380441	0.082125	49.0	947.3225283622742
62	54.941666	24.076555	113.7	-9.250001	79.388885	5125.0	0.0	9.313226e-10	12.9366045	-0.013618056	-0.9844209	1.9190238	0.008114039	0.07700001	49.0	963.0862686634064
63	50.811535	28.303116	116.1	-27.35	78.45055	5216.0	0.0	-1.3504177e-08	11.872589	-0.014048647	-0.98500025	1.8872464	0.0071645365	0.08625	49.0	978.5072917938232
64	53.963593	29.990103	118.05	-16.85	76.63043	5308.0	0.0	1.8626451e-09	13.791369	-0.013721313	-1.3180609	1.8775347	0.007838754	0.085962504	49.0	994.0112068653107
65	51.475838	30.237587	112.75	-27.2	77.64045	5397.0	0.0	-2.3283064e-10	12.230616	-0.013914186	-0.93191314	1.8538678	0.00781274	0.085975	49.0	1009.4179921150208
66	57.55054	25.552616	119.7	-6.200001	78.645164	5490.0	0.0	-5.5879354e-09	12.950946	-0.013884139	-0.98688984	1.853395	0.007850736	0.082975	49.0	1025.0819191932678
67	62.639244	26.221893	118.4	-22.150002	76.96774	5583.0	0.0	9.313226e-10	15.37886	-0.013956418	-1.220182	1.806	0.0070315553	0.0842125	49.0	1040.792322397232
68	60.82989	26.477	115.55	-11.3	76.28261	5675.0	0.0	3.7252903e-09	13.192067	-0.013225228	-1.0386114	1.7760298	0.0066495715	0.0790375	49.0	1056.3947615623474
69	59.52143	25.909664	112.9	-13.05	77.01099	5766.0	0.0	6.519258e-09	12.91745	-0.013305429	-1.0483928	1.7863874	0.008109914	0.08375	49.0	1071.846806049347
70	63.431866	27.026773	116.85	-10.900001	76.64835	5857.0	0.0	3.958121e-09	14.678498	-0.013320375	-1.2028024	1.7952092	0.007919191	0.079762496	49.0	1087.5019268989563
71	61.084576	28.70613	120.85	-14.850001	76.46809	5951.0	0.0	0.0	13.550106	-0.013770405	-1.1165793	1.7865001	0.008654257	0.08125	49.0	1103.1956305503845
72	62.244625	31.069586	119.05	-25.9	74.68817	6044.0	0.0	-3.7252903e-09	14.340224	-0.013152239	-1.3248681	1.7624758	0.008281581	0.078137495	49.0	1118.6013941764832
73	67.96146	29.331625	116.05	6.5499988	73.5	6140.0	0.0	1.8626451e-09	12.771523	-0.01369377	-1.0260702	1.7279518	0.0076596867	0.083574995	49.0	1134.0927441120148
74	63.521976	29.949276	116.7	-17.650002	75.27473	6231.0	0.0	-3.7252903e-09	13.9930935	-0.013615698	-1.1817418	1.7621765	0.0078105005	0.07762499	49.0	1149.468311548233
75	67.62374	29.152088	120.2	-26.85	71.85859	6330.0	0.0	0.0	14.534319	-0.01345112	-1.2678838	1.6776924	0.0069793155	0.0778	49.0	1164.8876867294312
76	64.76989	25.41328	122.9	-14.05	77.14773	6418.0	0.0	3.7252903e-09	14.043657	-0.013520989	-1.1667411	1.7266915	0.0072563337	0.077175	49.0	1180.310528755188
77	72.78939	29.828144	120.0	-2.2000005	69.16161	6517.0	0.0	4.656613e-09	15.19352	-0.013031905	-1.2147775	1.6749185	0.0071758335	0.075574994	49.0	1195.7068855762482
78	69.241486	28.132551	116.55	-17.7	73.606384	6611.0	0.0	7.450581e-09	14.654852	-0.013042417	-1.2626121	1.6933758	0.007667652	0.081112504	49.0	1211.1657922267914
79	70.36198	27.318172	122.7	-6.4000006	72.333336	6707.0	0.0	-3.259629e-09	15.16527	-0.013025242	-1.2597371	1.6689119	0.007542172	0.0751	49.0	1226.6402530670166
80	72.9703	33.233204	123.65	-28.6	68.9802	6808.0	0.0	-2.3283064e-09	14.145351	-0.013371732	-1.1715844	1.6437848	0.006907993	0.07655001	49.0	1242.6719996929169
81	73.6901	32.329407	125.55	-29.1	68.63367	6909.0	0.0	-3.259629e-09	12.2133875	-0.0130964145	-0.9602096	1.6426322	0.007172576	0.076925	49.0	1258.1388432979584
82	75.5455	28.421694	123.0	11.2	68.16	7009.0	0.0	-4.656613e-09	12.383844	-0.012926362	-0.9812068	1.6303277	0.0072399583	0.072275	49.0	1273.7537145614624
83	74.18316	32.466667	127.3	-28.0	68.19388	7107.0	0.0	-9.313226e-10	12.22974	-0.01329619	-0.85043573	1.6576004	0.007349062	0.0781625	49.0	1289.1070029735565
84	80.02353	29.523897	127.6	-21.45	65.59804	7209.0	0.0	7.450581e-09	13.209633	-0.01315105	-0.9520062	1.6172141	0.0075209867	0.080787495	49.0	1304.4738993644714
85	80.322556	28.970064	128.3	-13.35	66.02941	7311.0	0.0	2.7939677e-09	14.322958	-0.0127126565	-1.185943	1.5660715	0.0073601017	0.0740375	49.0	1319.8545136451721
86	75.26313	30.311403	123.4	-3.2000008	66.79798	7410.0	0.0	2.3283064e-09	11.081589	-0.012959719	-1.1634158	1.5951649	0.007224935	0.0775	49.0	1335.0556638240814
87	75.559494	30.710617	125.75	-4.650001	68.04	7510.0	0.0	1.8626451e-09	12.430239	-0.0129486285	-1.0415666	1.6029041	0.0071970127	0.075025	49.0	1350.485671043396
88	80.66912	29.836498	129.7	-20.9	64.84314	7612.0	0.0	-3.259629e-09	13.616086	-0.012677265	-1.0766778	1.5734302	0.0078643905	0.0781875	49.0	1365.7675020694733
89	79.18431	29.507565	126.6	-4.1000004	65.64706	7714.0	0.0	3.4924597e-10	14.297342	-0.013026959	-1.1179234	1.5919278	0.008183956	0.08075	49.0	1381.2177801132202
