Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
1820	27.1925	39.83103	85.85	-55.850002	80.0	41 min 34 sec
1840	18.677498	34.34703	99.15	-38.2	80.0	42 min 3 sec
1860	24.659998	41.138626	99.85	-45.7	80.0	42 min 32 sec
1880	33.802498	46.77609	129.9	-46.65	80.0	43 min 1 sec
1900	10.452499	38.022842	94.4	-42.850002	80.0	43 min 29 sec
1920	21.657497	31.089075	76.799995	-45.75	80.0	43 min 59 sec
1940	30.162497	33.345795	104.75	-40.4	80.0	44 min 29 sec
1960	29.0775	36.167297	117.0	-22.250002	80.0	44 min 57 sec
1980	30.097498	32.85861	86.5	-34.0	80.0	45 min 23 sec
2000	20.724998	32.426903	68.35	-52.95	80.0	45 min 51 sec
2020	29.990002	37.872673	84.5	-53.800003	80.0	46 min 16 sec
2040	25.147497	45.752914	134.25	-94.9	80.0	46 min 42 sec
2060	36.0075	39.887234	107.25	-41.750004	80.0	47 min 9 sec
2080	28.219997	47.885612	111.549995	-55.350002	80.0	47 min 35 sec
2100	29.497498	39.378414	88.85	-28.45	80.0	48 min 2 sec
2120	25.335001	33.27598	79.7	-42.4	80.0	48 min 29 sec
2140	27.074997	44.001637	110.299995	-64.3	80.0	48 min 56 sec
2160	23.582499	33.713505	104.799995	-19.350002	80.0	49 min 23 sec
2180	31.2375	39.44973	101.2	-54.000004	80.0	49 min 50 sec
2200	24.7475	36.13162	87.75	-88.100006	80.0	50 min 16 sec
2220	27.957499	42.155262	119.85	-33.600002	80.0	50 min 41 sec
2240	31.329998	43.124146	104.2	-36.2	80.0	51 min 7 sec
2260	15.92	31.596405	85.799995	-45.050003	80.0	51 min 34 sec
2280	22.0975	32.627014	87.25	-48.0	80.0	51 min 59 sec
2300	30.0	25.633656	82.0	-13.000002	80.0	52 min 26 sec
2320	27.755	42.31431	89.5	-53.95	80.0	52 min 54 sec
2340	23.599998	40.531784	111.85	-67.05	80.0	53 min 19 sec
2360	28.314999	39.761795	74.45	-71.200005	80.0	53 min 44 sec
2380	34.95	49.072704	113.95	-54.15	80.0	54 min 11 sec
