Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
50	-280.00000417232513	100.0	-276.651	12.457849	-247.70001	-313.7	100.0	5 min 10 sec
100	-288.20000752806664	100.0	-262.98502	66.267365	-133.70001	-645.80005	100.0	11 min 42 sec
150	-337.8000107035041	100.0	-200.395	68.47822	-13.850006	-350.7	100.0	18 min 13 sec
200	-229.25000688433647	100.0	-175.889	86.73856	71.69999	-311.35	100.0	24 min 50 sec
250	-151.3000072427094	100.0	-52.321007	173.32257	381.15	-337.7	100.0	31 min 31 sec
300	342.4999941550195	100.0	83.46999	174.66672	579.8	-269.15	100.0	38 min 0 sec
350	422.34999449178576	100.0	280.344	191.49048	663.8	-117.200005	100.0	44 min 14 sec
400	936.7999955229461	100.0	344.779	250.1576	932.85	-40.600006	100.0	50 min 48 sec
450	567.7499960437417	100.0	513.13403	257.42505	953.55	-126.55	100.0	57 min 20 sec
500	653.5999922379851	100.0	556.396	302.87796	1131.45	-107.350006	100.0	1 h 3 min
550	1082.1999955028296	100.0	596.815	226.7381	1091.9	137.79999	100.0	1 h 10 min
600	1236.5999966487288	100.0	635.888	225.83344	1179.05	108.2	100.0	1 h 16 min
650	566.7499959997833	100.0	523.94604	269.08755	1036.7	50.949993	100.0	1 h 23 min
700	575.8999968580902	100.0	565.12	247.3496	1005.2	-41.650005	100.0	1 h 29 min
750	816.8799957588315	100.0	570.79	242.79144	1103.0	-170.05	100.0	1 h 36 min
800	1051.9499961659312	100.0	689.59595	220.53616	1132.5	237.5	100.0	1 h 42 min
850	1242.7999937012792	100.0	613.384	252.04439	1123.9	45.549995	100.0	1 h 49 min
900	959.9999957159162	100.0	555.352	262.8755	1068.05	-171.25	100.0	1 h 55 min
950	419.2949905961752	100.0	507.925	235.65314	1026.65	-282.30002	100.0	2 h 1 min
1000	849.0999968871474	100.0	572.338	248.56221	1036.15	-105.750015	100.0	2 h 8 min
1050	879.0449953518807	100.0	593.118	242.42992	1068.45	-87.65	100.0	2 h 14 min
1100	845.2499950043857	100.0	630.093	243.23405	1100.2	57.749996	100.0	2 h 20 min
1150	1130.8249948073178	100.0	692.18506	244.55122	1078.9	212.95	100.0	2 h 26 min
1200	907.8999950140715	100.0	685.19904	236.03084	1095.6	99.2	100.0	2 h 33 min
1250	941.5499940440059	100.0	693.633	234.70259	1028.1	-69.950005	100.0	2 h 39 min
1300	1058.889995265752	100.0	731.164	239.53777	1168.8	-150.15001	100.0	2 h 45 min
