Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-42.377678	3.6018834	-34.45	-48.0	80.0	40000	3.7252903e-09	4.8071985	-0.014459388	-3.79684	3.4837258	0.011023325	0.10075	49.0	17.727213859558105
1	-41.322327	2.9254873	-32.55	-45.100002	80.0	80000	-1.816079e-08	0.88268805	-0.012067307	-0.0635941	3.4762042	0.008598164	0.079075	49.0	35.282538414001465
2	-39.350002	3.302285	-32.350002	-43.7	80.0	120000	-3.958121e-09	0.772261	-0.013906754	-0.031794712	3.4624481	0.008446554	0.0894	49.0	53.56451869010925
3	-39.464546	2.3960507	-32.600002	-42.600002	80.0	160000	-2.142042e-08	0.59431994	-0.016208496	-0.06442026	3.4419231	0.008228827	0.109125	49.0	70.99243187904358
4	-37.824104	3.289241	-28.550001	-42.4	80.0	200000	1.0011718e-08	0.48263663	-0.017904354	-0.0383541	3.4109602	0.009353613	0.12905	49.0	88.37906002998352
5	-37.05893	2.4983943	-30.1	-41.100002	80.0	240000	1.8626451e-09	0.4408996	-0.019030975	-0.030448012	3.3740218	0.009701853	0.13485	49.0	105.82462978363037
6	-34.846428	3.429466	-26.4	-40.9	80.0	280000	3.7252903e-09	0.47679585	-0.019842021	-0.03106089	3.3410113	0.011056888	0.15134999	49.0	123.44014954566956
7	-35.228573	4.351199	-23.800001	-39.850002	80.0	320000	-6.2864274e-09	0.49383056	-0.019450927	-0.013897985	3.3043098	0.012641216	0.1362	49.0	140.2740044593811
8	-32.19107	7.60927	-11.1	-39.600002	80.0	360000	4.656613e-09	0.7012636	-0.020800576	-0.046436433	3.2639582	0.009334476	0.1338	49.0	155.07091283798218
9	-30.041965	10.858505	-0.29999986	-38.7	80.0	400000	2.7939677e-09	1.0185786	-0.020825952	-0.060463756	3.221997	0.010576511	0.1288	49.0	170.00304985046387
