Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-65.03195	4.3797064	-54.55	-73.65	80.0	72.0	80000	-5.0407834e-08	4.2218876	-0.014154473	-3.2812858	3.486525	0.0072713615	0.07251249	49.0	42.65560293197632
1	-64.59927	3.2011037	-55.55	-71.8	80.0	141.0	160000	-5.5879354e-09	0.9076193	-0.014388027	-0.028595485	3.4793873	0.007534508	0.0741125	49.0	77.95946764945984
2	-63.02571	3.5236018	-52.05	-70.5	80.0	211.0	240000	8.1490725e-09	0.8241346	-0.015423134	-0.013338678	3.469398	0.0059435363	0.0818125	49.0	116.54890322685242
3	-62.100002	3.1273832	-53.95	-67.8	80.0	278.0	320000	-2.3283064e-09	0.8557873	-0.015826944	-0.010392368	3.4569657	0.007562289	0.0819375	49.0	160.54990935325623
4	-60.88676	3.2225044	-52.3	-68.4	80.0	346.0	400000	5.5879354e-09	0.7977267	-0.017167993	-0.011762023	3.4425144	0.006745153	0.0852	49.0	197.05740404129028
5	-60.37197	3.7022634	-46.9	-67.9	80.0	412.0	480000	1.7462298e-08	0.8467343	-0.018549008	-0.012794025	3.4298134	0.0076239957	0.101925	49.0	237.83529472351074
6	-57.759094	4.2672644	-37.8	-64.200005	80.0	478.0	560000	2.7939677e-09	0.86370504	-0.01926662	-0.01399678	3.408196	0.008214638	0.1002	49.0	274.0233483314514
7	-54.388634	4.9895935	-40.65	-63.7	80.0	544.0	640000	-5.5879354e-09	1.034334	-0.020945312	-0.025872447	3.3858821	0.00714244	0.11031251	49.0	311.55022859573364
8	-49.027344	8.464369	-29.25	-62.45	80.0	608.0	720000	-2.7939677e-09	1.3754554	-0.022392683	-0.040834546	3.3630025	0.0077823014	0.11255	49.0	354.5943338871002
9	-42.339066	10.97562	-11.500001	-61.600002	80.0	672.0	800000	4.1909516e-09	2.0154927	-0.022873752	-0.050560296	3.3279023	0.008718053	0.1252	49.0	398.3044538497925
10	-33.4471	13.239142	7.5999994	-57.75	80.0	741.0	880000	3.7252903e-09	2.843454	-0.023084654	-0.097602546	3.2943554	0.008909572	0.115175	49.0	438.9015758037567
11	-26.628471	14.37148	8.9	-58.7	80.0	813.0	960000	2.7939677e-09	3.3687868	-0.022254499	-0.09289053	3.2581184	0.008596975	0.1180125	49.0	482.90584993362427
12	-21.179169	14.077701	13.549999	-53.75	80.0	885.0	1040000	-3.958121e-09	3.8084083	-0.022837745	-0.106708914	3.2147396	0.009336413	0.1234125	49.0	525.5535435676575
13	-13.50625	17.985577	27.6	-52.75	80.0	957.0	1120000	-1.8626451e-09	4.7673187	-0.022385277	-0.12037194	3.167788	0.00946098	0.1278875	49.0	572.3963584899902
14	-6.0229173	19.273596	33.3	-48.05	80.0	1029.0	1200000	-3.7252903e-09	5.669876	-0.020462798	-0.15433133	3.1172032	0.009070074	0.114575	49.0	618.4560227394104
15	-3.7763891	17.442507	31.0	-47.5	80.0	1101.0	1280000	6.0535967e-09	6.216166	-0.020067811	-0.13356334	3.0720005	0.008239511	0.117962494	49.0	658.5988566875458
16	0.46027333	17.055351	40.35	-56.5	80.0	1174.0	1360000	8.614734e-09	5.9815784	-0.019934654	-0.2084254	3.0318415	0.008312775	0.1163125	49.0	705.8208611011505
17	6.480666	18.795828	44.1	-53.9	80.0	1249.0	1440000	1.8626451e-09	6.8220882	-0.020404264	-0.2032395	2.9826648	0.008820342	0.1172375	49.0	749.9299621582031
18	8.847369	19.443684	44.45	-46.7	80.0	1325.0	1520000	1.8626451e-09	9.089384	-0.018947335	-0.3273328	2.9280972	0.008287472	0.11655	49.0	795.4800224304199
19	10.601333	21.031012	47.0	-43.350002	80.0	1400.0	1600000	9.313226e-10	8.106699	-0.019347899	-0.27798074	2.879737	0.00869079	0.1151125	49.0	842.6570553779602
20	15.999367	17.811554	52.149998	-28.050001	80.0	1479.0	1680000	1.8626451e-09	8.535381	-0.01807247	-0.31640345	2.825186	0.008526802	0.1087625	49.0	883.2168517112732
21	19.69671	23.516186	60.35	-51.15	80.0	1555.0	1760000	-4.1909516e-09	8.774951	-0.019222956	-0.36024445	2.797564	0.009336079	0.1233875	49.0	934.7618937492371
22	19.457594	22.514778	58.85	-38.65	80.0	1634.0	1840000	-9.313226e-10	8.845989	-0.018108498	-0.3731714	2.7527387	0.009194046	0.113125	49.0	981.2581467628479
23	20.98269	25.118984	69.299995	-40.600002	80.0	1712.0	1920000	-8.032657e-09	9.507303	-0.018095799	-0.35029984	2.7002327	0.0080931345	0.113125	49.0	1029.4128046035767
24	28.401924	19.979542	70.5	-34.65	80.0	1790.0	2000000	-7.450581e-09	9.334255	-0.018637724	-0.40778393	2.6653998	0.009000713	0.1115875	49.0	1075.0159845352173
25	28.04295	22.995975	72.1	-23.050001	80.0	1868.0	2080000	1.8626451e-09	9.573625	-0.018229745	-0.51057225	2.6329517	0.008948028	0.1139125	49.0	1120.9538860321045
26	30.561687	22.553629	80.75	-35.0	80.0	1945.0	2160000	-3.259629e-09	9.973948	-0.018698802	-0.44648015	2.598297	0.009453295	0.119037494	49.0	1167.6441102027893
27	33.049347	21.759523	96.049995	-19.900002	79.64935	2022.0	2240000	-2.7939677e-09	10.529853	-0.018342184	-0.53097296	2.561349	0.009857869	0.1178125	49.0	1210.6744439601898
28	38.939472	20.25469	82.9	-13.8	80.0	2098.0	2320000	2.3283064e-09	12.039246	-0.017796934	-0.5971234	2.5231104	0.009031018	0.116799995	49.0	1253.4165110588074
29	39.432278	22.742073	70.7	-30.2	80.0	2177.0	2400000	-4.656613e-10	10.696403	-0.017089318	-0.5504554	2.475418	0.009050544	0.114	49.0	1301.7086110115051
