Episode	TestRet	TestSteps	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
3450	714.9499939322471	100.0	334.43298	217.79344	764.25	-262.9	100.0	6 h 47 min
3500	735.6899936791509	100.0	383.77103	169.50772	734.8	-123.8	100.0	6 h 52 min
3550	1003.8899957306683	100.0	359.91702	205.7407	814.95	-188.75	100.0	6 h 58 min
3600	725.9599950194358	100.0	320.12302	248.1786	988.85	-206.45	100.0	7 h 4 min
3650	803.4249956049025	100.0	350.88898	186.59038	819.5	-117.3	100.0	7 h 10 min
3700	730.8899954449386	100.0	395.941	172.12279	752.0	-18.150003	100.0	7 h 15 min
3750	1073.9499942921102	100.0	401.254	167.78627	756.0	-62.150005	100.0	7 h 21 min
3800	1063.6749940034001	100.0	414.934	157.72002	749.55	99.899994	100.0	7 h 27 min
3850	672.9349961064756	100.0	390.913	193.12233	710.35	6.849996	100.0	7 h 33 min
3900	676.7599945932627	100.0	358.58096	180.78578	822.15	-132.95001	100.0	7 h 38 min
3950	794.6899940811097	100.0	392.484	200.33055	773.35	-139.65001	100.0	7 h 44 min
4000	1142.1999899409711	100.0	388.13797	190.00206	791.9	-40.250004	100.0	7 h 50 min
4050	711.1149956021458	100.0	348.10297	202.31223	718.6	-122.50001	100.0	7 h 56 min
4100	1006.6999949030578	100.0	383.412	199.90796	805.55	19.049997	100.0	8 h 1 min
4150	603.0249941647053	100.0	309.27298	201.50772	806.65	-193.55	100.0	8 h 7 min
4200	958.7499932594598	100.0	375.34598	217.84328	933.15	-248.95001	100.0	8 h 13 min
4250	752.8049943484366	100.0	339.61603	200.38268	762.25	-164.15001	100.0	8 h 19 min
4300	751.4399912565947	100.0	360.886	183.06503	698.95	-92.100006	100.0	8 h 25 min
4350	895.0399949971586	100.0	373.572	193.3757	799.6	-50.800003	100.0	8 h 30 min
4400	1025.7899961210787	100.0	375.68597	208.5563	800.9	-99.75001	100.0	8 h 36 min
4450	818.574993988499	100.0	380.043	163.71114	718.95	7.099995	100.0	8 h 42 min
4500	756.2499962966889	100.0	364.85602	206.86162	852.7	-41.850002	100.0	8 h 48 min
4550	830.7499940805137	100.0	350.71402	192.95728	834.7	-120.05	100.0	8 h 53 min
4600	639.9049950975925	100.0	375.369	177.51941	747.3	-117.15001	100.0	8 h 59 min
4650	996.7949945382774	100.0	321.55402	200.52194	722.25	-157.20001	100.0	9 h 5 min
4700	780.6449965320528	100.0	326.637	206.48859	831.65	-161.45	100.0	9 h 10 min
4750	1034.7999945756048	100.0	335.213	197.62993	807.65	-105.200005	100.0	9 h 16 min
4800	538.6399932343513	100.0	367.18597	180.79529	700.05	-171.45001	100.0	9 h 22 min
4850	803.669996394217	100.0	321.62302	241.68372	760.0	-134.1	100.0	9 h 27 min
