Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
1780	43.7225	35.491108	124.399994	-0.75000095	80.0	37 min 18 sec
1800	44.4375	56.533714	121.649994	-72.25	80.0	37 min 43 sec
1820	41.552498	41.533485	128.15	-24.85	80.0	38 min 8 sec
1840	41.692497	31.193602	111.299995	-25.5	80.0	38 min 32 sec
1860	46.4875	51.12104	142.84999	-93.5	80.0	38 min 56 sec
1880	27.714996	40.584164	153.59999	-30.300001	80.0	39 min 21 sec
1900	44.025	39.894985	111.65	-45.300003	80.0	39 min 45 sec
1920	68.6525	44.275475	174.25	0.9499988	80.0	40 min 9 sec
1940	38.2625	48.908703	143.45	-41.7	80.0	40 min 35 sec
1960	33.707497	46.106323	127.5	-48.95	80.0	41 min 0 sec
1980	44.105	42.397083	144.45	-43.3	80.0	41 min 24 sec
2000	71.32	39.95808	156.3	-19.35	80.0	41 min 49 sec
2020	37.177498	46.355476	132.75	-44.050003	80.0	42 min 15 sec
2040	49.047493	48.59702	124.6	-58.100002	80.0	42 min 40 sec
2060	63.51	46.905476	133.5	-22.650002	80.0	43 min 3 sec
2080	59.675	45.489388	164.3	-15.6500025	80.0	43 min 27 sec
2100	75.4125	55.555176	159.75	-47.500004	80.0	43 min 52 sec
2120	66.1	38.488785	127.15	-28.550001	80.0	44 min 16 sec
2140	71.9625	36.43259	133.25	-16.200003	80.0	44 min 40 sec
2160	69.28749	42.357704	139.25	-26.650002	80.0	45 min 5 sec
2180	62.614998	44.659363	143.0	-25.35	80.0	45 min 29 sec
2200	49.5075	51.521313	158.45	-34.55	80.0	45 min 53 sec
2220	49.94	48.766624	142.9	-39.850002	80.0	46 min 19 sec
2240	56.795002	42.521202	129.95	-12.200002	80.0	46 min 42 sec
2260	60.0325	45.163586	166.65	-51.100002	80.0	47 min 7 sec
2280	86.817505	39.055386	168.55	21.099998	80.0	47 min 32 sec
2300	67.485	27.569557	120.149994	4.849998	80.0	47 min 55 sec
2320	77.35999	44.640198	179.95	-6.000002	80.0	48 min 20 sec
2340	57.93	45.48045	129.8	-19.700003	80.0	48 min 44 sec
2360	81.052505	49.575275	169.2	-32.9	80.0	49 min 9 sec
2380	84.582504	34.62203	139.15	19.1	80.0	49 min 32 sec
2400	63.419994	59.215004	164.6	-65.25	80.0	49 min 56 sec
2420	72.4325	51.89233	192.54999	-39.100002	80.0	50 min 21 sec
2440	90.7425	31.269178	138.75	28.799997	80.0	50 min 45 sec
2460	51.937492	53.818027	135.3	-25.800003	80.0	51 min 9 sec
2480	55.722496	49.53397	136.0	-40.050003	80.0	51 min 33 sec
2500	75.0125	36.967815	136.84999	11.399999	80.0	51 min 57 sec
2520	74.1225	47.5824	160.7	-17.900002	80.0	52 min 22 sec
2540	83.28	55.582035	155.55	-32.4	80.0	52 min 45 sec
2560	83.145004	55.655632	161.9	-55.450005	80.0	53 min 9 sec
2580	95.2625	36.700985	153.7	20.3	80.0	53 min 33 sec
2600	91.557495	52.26985	179.75	-33.4	80.0	53 min 57 sec
2620	102.265	61.26302	189.5	-27.800001	80.0	54 min 22 sec
2640	86.619995	56.68225	190.09999	-63.65	80.0	54 min 45 sec
2660	84.285	51.318382	148.25	-20.550003	80.0	55 min 10 sec
2680	77.435	51.91224	189.8	-57.500004	80.0	55 min 34 sec
2700	75.795	52.89958	161.45	-68.1	80.0	55 min 58 sec
2720	89.17999	62.095642	174.05	-65.05	80.0	56 min 23 sec
2740	82.86751	43.24992	153.4	-23.900002	80.0	56 min 45 sec
2760	89.365	62.114265	208.15	-38.850002	80.0	57 min 10 sec
2780	77.97749	55.280556	152.15	-40.95	80.0	57 min 34 sec
2800	78.425	56.77926	198.8	-31.100002	80.0	57 min 57 sec
2820	68.1075	48.07817	142.05	-35.7	80.0	58 min 20 sec
2840	91.77	60.141895	181.9	-48.800003	80.0	58 min 44 sec
2860	101.435	44.710983	193.05	-10.1500025	80.0	59 min 8 sec
2880	97.4225	45.241497	157.9	-8.400001	80.0	59 min 31 sec
2900	90.994995	51.391228	192.7	5.199999	80.0	59 min 54 sec
2920	81.36751	47.933517	178.84999	-5.350002	80.0	1 h 0 min 17 sec
