Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-35.01742	4.2913456	-24.35	-45.45	80.0	40000	1.4994293e-07	4.459261	-0.041089058	-3.703023	3.4721167	0.013149011	0.16857499	49.0	10.318686485290527
1	-34.865627	4.5678473	-24.25	-45.2	80.0	80000	8.8475645e-09	0.7868339	-0.041291364	-0.06621769	3.4606433	0.011427216	0.1716	49.0	20.84957265853882
2	-34.878128	4.034799	-26.95	-44.3	80.0	120000	-9.313226e-09	0.6916051	-0.04197949	-0.06519781	3.4484568	0.012616567	0.18315	49.0	31.21635937690735
3	-35.671772	3.9871228	-25.65	-44.0	80.0	160000	-2.3283064e-09	0.70150965	-0.044278927	-0.067657836	3.4329715	0.010265298	0.184825	49.0	41.813005685806274
4	-35.059525	4.4015856	-24.300001	-42.7	80.0	200000	0.0	0.68893653	-0.044463817	-0.07064481	3.4171085	0.012794114	0.19649999	49.0	51.732946157455444
5	-35.43279	4.015961	-23.300001	-42.55	80.0	240000	-6.0535967e-09	0.6613293	-0.046432666	-0.091319926	3.3983154	0.011315404	0.2005	49.0	60.377066135406494
6	-35.094532	4.1938677	-23.7	-42.850002	80.0	280000	-9.313226e-10	0.6497361	-0.045901675	-0.09995723	3.3848062	0.013504555	0.20882499	49.0	68.99489951133728
7	-34.18651	3.5163023	-25.85	-42.600002	80.0	320000	-1.6763806e-08	0.6612639	-0.047134586	-0.107464306	3.3638597	0.013080092	0.21305	49.0	77.61409831047058
8	-33.185158	3.7050612	-23.9	-39.7	80.0	360000	0.0	0.6689869	-0.047027025	-0.09649893	3.343218	0.0131453965	0.2155	49.0	86.40940165519714
9	-32.973076	3.8417754	-18.65	-40.95	80.0	400000	-1.8626451e-09	0.64878947	-0.046030052	-0.09471255	3.3249369	0.012730036	0.209375	49.0	95.20501589775085
10	-32.10469	4.265548	-15.85	-41.4	80.0	440000	-1.1641532e-08	0.64834917	-0.046413656	-0.10010962	3.3059592	0.013169171	0.21285	49.0	103.95248031616211
11	-32.011288	4.5713115	-18.550001	-42.2	80.0	480000	1.8626451e-09	0.77705485	-0.044990048	-0.11685797	3.286667	0.014212212	0.20917499	49.0	112.6625509262085
