Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	MeanDiff	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-66.265976	4.8228827	-56.5	-76.85	80.0	72.0	0.1362255	3.7881546e-07	4.7231884	-0.009588651	-3.7510555	3.4835925	0.009466687	0.069225	49.0	32.87460446357727
1	-64.546524	3.8224878	-56.4	-74.200005	80.0	144.0	0.10747738	-3.7718564e-08	0.85825443	-0.008219993	-0.032094225	3.4825566	0.010758575	0.060624998	49.0	65.01973366737366
2	-63.894367	3.317469	-52.850002	-72.0	80.0	215.0	0.090068385	1.3387762e-08	0.77286756	-0.009055499	-0.017902672	3.4760737	0.0072446554	0.067075	49.0	96.04975628852844
3	-61.06528	3.5396628	-49.5	-68.25	80.0	287.0	0.09340407	-1.0477379e-09	0.69263935	-0.009736707	-0.023630626	3.4555159	0.008389238	0.07358751	49.0	128.3229262828827
4	-60.337498	3.3993337	-48.65	-66.450005	80.0	359.0	0.09288855	1.2572855e-08	0.6191092	-0.011005373	-0.022759527	3.4345	0.00937883	0.08794999	49.0	160.47583293914795
5	-59.22153	3.6640882	-45.95	-65.55	80.0	431.0	0.09085806	-2.2351742e-08	0.5860907	-0.01103355	-0.03140889	3.4013247	0.01014355	0.099024996	49.0	191.87040376663208
6	-57.377083	3.8837798	-48.100002	-64.950005	80.0	503.0	0.09111932	-2.561137e-09	0.5655589	-0.011421828	-0.020406358	3.3647087	0.009269182	0.0944875	49.0	223.74173045158386
7	-55.631943	4.1875415	-43.65	-63.5	80.0	575.0	0.08938061	-2.3283064e-09	0.57843363	-0.010776252	-0.021797996	3.3256254	0.008522111	0.0863	49.0	255.5746726989746
8	-54.36014	4.1558485	-41.05	-62.15	80.0	649.0	0.08778926	-9.429641e-09	0.5517382	-0.009721886	-0.014564015	3.290316	0.0073843305	0.067862496	49.0	287.53778529167175
9	-53.760273	5.5707345	-38.2	-62.65	80.0	722.0	0.08958576	5.820766e-09	0.56937695	-0.01099973	-0.011135757	3.2582364	0.0068723047	0.077775	49.0	320.31726241111755
10	-51.79452	6.077381	-36.4	-60.65	80.0	795.0	0.088596694	5.5879354e-09	0.61711895	-0.011943253	-0.016215563	3.2305102	0.007525345	0.087125	49.0	352.24894285202026
11	-50.616447	6.5734987	-32.100002	-61.4	80.0	871.0	0.084465556	0.0	0.6763654	-0.011824507	-0.012258694	3.188326	0.007817626	0.081125	49.0	383.61824798583984
12	-50.275677	7.5816064	-28.1	-60.2	80.0	945.0	0.088154815	9.313226e-09	0.6353352	-0.011831353	-0.012977757	3.1529078	0.007543658	0.0797375	49.0	415.3901116847992
13	-47.531013	9.863583	-20.300001	-60.55	80.0	1024.0	0.08099943	-6.519258e-09	0.7206019	-0.011910429	-0.018136315	3.12445	0.008361013	0.07880001	49.0	447.9896819591522
14	-47.98562	10.365609	-9.45	-60.4	80.0	1097.0	0.09049033	-1.3969839e-09	0.7689581	-0.011536915	-0.023842715	3.0874143	0.0077809393	0.073425	49.0	479.7323977947235
15	-45.008	13.3734045	-8.5681677e-07	-59.2	80.0	1172.0	0.086877204	-6.9849193e-09	0.98182714	-0.012409753	-0.033083513	3.0589714	0.00807619	0.08436251	49.0	511.3191614151001
16	-42.29013	14.015038	0.74999976	-57.9	80.0	1248.0	0.08490922	9.313226e-10	1.1103139	-0.011668641	-0.034154244	3.0198843	0.007534777	0.0733625	49.0	543.1501455307007
17	-42.70067	14.038444	-6.55	-59.4	80.0	1323.0	0.08605163	-3.4924597e-09	0.98160625	-0.011453865	-0.023312218	2.982122	0.007381815	0.074612506	49.0	575.6825125217438
18	-42.897297	13.20348	-14.55	-57.75	80.0	1397.0	0.08752443	-6.2864274e-09	1.0141376	-0.011142192	-0.029312953	2.9381943	0.007850222	0.075674996	49.0	607.3577306270599
19	-38.558113	15.484753	4.5999994	-55.3	80.0	1471.0	0.088399544	-1.8626451e-09	1.2154205	-0.011445416	-0.03669592	2.898357	0.008437792	0.072325006	49.0	640.3101348876953
20	-36.972603	16.809904	-1.8500005	-59.25	80.0	1544.0	0.08813019	-4.656613e-10	1.2406572	-0.010685153	-0.03699948	2.848281	0.0076618274	0.0667	49.0	672.9695801734924
21	-34.730137	18.265285	0.99999976	-57.65	80.0	1617.0	0.087644935	0.0	1.5890843	-0.011633646	-0.04819943	2.8289318	0.007989965	0.080725	49.0	704.7537977695465
22	-31.916893	19.711916	9.749999	-60.350002	80.0	1691.0	0.08701457	-1.3969839e-09	1.8129141	-0.010911354	-0.06275581	2.79107	0.007900899	0.0741	49.0	736.4033257961273
23	-28.55	20.413	15.5	-57.75	80.0	1766.0	0.08491979	1.8626451e-09	1.8171694	-0.011224238	-0.06782317	2.7516458	0.008404567	0.0802	49.0	768.8502867221832
24	-30.87829	19.184988	22.199999	-56.65	80.0	1842.0	0.082926184	-2.3283064e-10	1.665281	-0.010661449	-0.058555424	2.7306457	0.007860051	0.0689125	49.0	800.4192004203796
25	-27.012001	22.776777	29.949999	-58.7	80.0	1917.0	0.08428216	-1.3969839e-09	2.2002487	-0.010489763	-0.09024815	2.7128544	0.0072465925	0.0658875	49.0	832.5269055366516
26	-23.994738	20.844223	24.25	-54.2	80.0	1993.0	0.08328085	3.1432137e-09	2.187009	-0.010292711	-0.06427716	2.6917465	0.0071831504	0.070675	49.0	865.3017740249634
27	-23.471916	22.331615	21.4	-59.600002	80.0	2066.0	0.086700074	4.656613e-10	2.1690354	-0.010048311	-0.06979452	2.648396	0.0075891116	0.06730001	49.0	897.0014705657959
28	-23.169443	20.910267	22.55	-56.100002	80.0	2138.0	0.08757612	-1.0244548e-08	2.4145966	-0.009617271	-0.10193828	2.589772	0.0073779216	0.0678125	49.0	928.7198505401611
29	-20.291782	22.097006	30.249998	-52.5	80.0	2211.0	0.085837014	4.1909516e-09	2.7596073	-0.009160558	-0.11295883	2.549189	0.006855871	0.0647125	49.0	962.5754919052124
30	-16.91757	23.500597	29.1	-52.100002	80.0	2285.0	0.0847283	-2.7939677e-09	2.856753	-0.009687269	-0.10010217	2.4878428	0.0070661968	0.064137496	49.0	996.053703546524
31	-17.40685	24.121523	48.7	-53.65	80.0	2358.0	0.084830105	3.7252903e-09	2.7926066	-0.01014308	-0.11817972	2.484609	0.007904693	0.0694875	49.0	1028.2771964073181
32	-15.42829	23.698223	37.05	-53.75	80.0	2434.0	0.08047544	3.0267984e-09	3.1868067	-0.009692595	-0.17566001	2.458763	0.0067014648	0.063675	49.0	1060.7672147750854
33	-13.754731	22.967531	37.85	-50.600002	80.0	2508.0	0.08312291	1.3969839e-09	3.3442602	-0.00939726	-0.1419402	2.4489102	0.007331183	0.0625	49.0	1093.1572360992432
34	-11.528379	21.976776	33.55	-48.9	80.0	2582.0	0.082038805	4.656613e-09	3.4683664	-0.009449525	-0.16108501	2.4190288	0.007353425	0.063075	49.0	1127.5242912769318
35	-8.469179	22.374365	35.25	-49.05	80.0	2655.0	0.08489793	2.7939677e-09	3.2755966	-0.009488221	-0.15896755	2.4084005	0.006637265	0.0593375	49.0	1160.5529022216797
36	-5.4315796	24.062687	48.85	-48.8	80.0	2731.0	0.07994987	4.656613e-09	3.210351	-0.009737391	-0.15310618	2.3827615	0.007946667	0.071825	49.0	1193.7790355682373
37	-4.8720784	21.901861	46.85	-42.350002	80.0	2808.0	0.077214	9.313226e-10	4.353414	-0.009292436	-0.14419481	2.352731	0.0060530193	0.062287502	49.0	1225.8748691082
38	-0.7980009	21.30658	46.8	-37.05	80.0	2883.0	0.07899101	-4.656613e-10	4.056136	-0.009306207	-0.19002062	2.329342	0.007675578	0.067925	49.0	1257.5675723552704
39	5.6199994	24.099552	55.95	-49.95	80.0	2958.0	0.079435974	5.122274e-09	4.909071	-0.009372467	-0.20519924	2.3099446	0.0070516393	0.063462496	49.0	1289.476303100586
40	4.8917804	24.45565	52.25	-42.65	80.0	3031.0	0.08314038	-1.8626451e-09	5.219907	-0.009148982	-0.14009982	2.2827008	0.0061517097	0.058425	49.0	1321.9203870296478
41	8.991216	24.104448	51.8	-43.600002	80.0	3105.0	0.0795872	-1.3969839e-09	5.656498	-0.00932054	-0.19548285	2.2543247	0.006870716	0.0743125	49.0	1354.1256687641144
42	11.709332	24.416897	59.35	-33.65	80.0	3180.0	0.079084724	9.313226e-09	5.8627815	-0.008716115	-0.22361869	2.2791162	0.006160641	0.0518375	49.0	1386.2666738033295
43	10.679487	22.828762	66.4	-32.75	80.0	3258.0	0.0736325	-2.7939677e-09	4.8327217	-0.009190604	-0.24787244	2.2407973	0.00683715	0.064050004	49.0	1418.5270669460297
44	20.237333	22.257298	61.149998	-30.900002	80.0	3333.0	0.07922205	5.5879354e-09	7.914508	-0.008169781	-0.56112576	2.2110584	0.007334553	0.0611	49.0	1450.5152387619019
45	16.33082	24.870544	60.1	-48.75	80.0	3406.0	0.07976984	0.0	6.1798434	-0.008543334	-0.24287748	2.205914	0.0064209327	0.0699125	49.0	1482.9276723861694
46	21.514	20.907547	66.3	-24.0	80.0	3481.0	0.07932523	-9.313226e-10	7.12582	-0.009191025	-0.29329568	2.1675596	0.006705907	0.065787494	49.0	1515.2570135593414
47	27.49726	19.33462	63.149998	-23.85	80.0	3554.0	0.080573805	-3.7252903e-09	6.821553	-0.009346495	-0.24146813	2.1575117	0.006352034	0.067175	49.0	1548.0748653411865
48	25.05443	21.88722	67.9	-46.8	80.0	3633.0	0.07192467	2.3283064e-09	7.275881	-0.0086563965	-0.30063415	2.1470034	0.006297052	0.0611	49.0	1580.976399421692
49	32.664383	19.666845	69.5	-10.85	80.0	3706.0	0.08002481	-1.1641532e-09	7.6545115	-0.008695272	-0.33167452	2.1377418	0.0065656365	0.0600125	49.0	1613.3941006660461
50	27.420778	22.827377	66.6	-21.550001	80.0	3783.0	0.07307706	3.7252903e-09	8.340307	-0.008546047	-0.30324173	2.1481414	0.006867912	0.0665	49.0	1646.0250041484833
51	40.07467	22.90488	78.25	-28.800001	80.0	3858.0	0.07735424	-2.561137e-09	8.0597515	-0.009031742	-0.3657804	2.1286542	0.0068167476	0.071425	49.0	1678.2898213863373
52	32.15733	26.577345	76.65	-29.000002	80.0	3933.0	0.07751584	3.259629e-09	8.280018	-0.008682779	-0.42888784	2.1097817	0.0059605176	0.0629125	49.0	1710.2747387886047
53	37.274323	22.644386	73.299995	-31.85	80.0	4007.0	0.07750597	-1.8626451e-09	8.8445635	-0.009166685	-0.45037925	2.1103868	0.007228498	0.0768625	49.0	1742.4668502807617
54	37.034996	25.996521	72.85	-31.7	80.0	4087.0	0.076706484	2.7939677e-09	8.971678	-0.008605432	-0.37980008	2.0752335	0.0068968576	0.0673625	49.0	1775.8854031562805
55	40.65333	24.013964	96.4	-25.800001	79.68	4162.0	0.07674987	-1.0244548e-08	9.313587	-0.0088428445	-0.43506342	2.0817254	0.006615587	0.061750002	49.0	1808.444620847702
56	42.579334	26.040958	77.1	-39.0	80.0	4237.0	0.07573928	-2.3283064e-09	10.994135	-0.00882867	-0.37300414	2.0596485	0.007151537	0.068	49.0	1840.6713712215424
57	45.36622	23.19867	95.85	-14.150002	79.37838	4311.0	0.07664978	-7.450581e-09	10.76062	-0.00796747	-0.3777355	2.0520065	0.0068500703	0.062175	49.0	1872.466185092926
58	51.111183	23.731388	101.299995	-17.150002	79.61842	4387.0	0.07419108	-4.656613e-09	11.319513	-0.008772929	-0.5455004	2.038534	0.0072331093	0.063549995	49.0	1904.400936126709
59	50.996754	22.984045	98.35	-5.6500006	79.181816	4464.0	0.07226054	1.5133992e-08	10.341446	-0.008718414	-0.33338088	2.0309968	0.0069532897	0.068325	49.0	1937.2420501708984
60	54.123375	22.885984	110.2	-11.450001	79.155846	4541.0	0.0726351	6.9849193e-09	11.562936	-0.008141463	-0.39175963	2.0092769	0.006216056	0.0637875	49.0	1969.8455061912537
61	55.007694	24.642103	112.25	-33.8	78.88461	4619.0	0.0708514	2.0954758e-09	13.650967	-0.0083217835	-0.6071713	1.9865875	0.005988517	0.0649125	49.0	2001.6933054924011
