Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-38.083622	4.3115463	-29.25	-45.7	80.0	40000	-1.6950071e-07	4.3962307	-0.0112228105	-3.4786258	3.4921107	0.010998497	0.081625	49.0	20.745486736297607
1	-38.758774	3.0936282	-31.400002	-43.7	80.0	80000	2.3748726e-08	0.8350575	-0.010543415	-0.021970429	3.4823885	0.0126276	0.07345	49.0	40.893235206604004
2	-37.918755	3.1043975	-31.5	-43.600002	80.0	120000	-6.9849193e-10	0.77891797	-0.008226951	-0.035733506	3.4675748	0.012553329	0.057875	49.0	62.391845703125
3	-37.023216	2.7435794	-31.65	-42.5	80.0	160000	4.656613e-10	0.73559695	-0.010351215	-0.03991863	3.453279	0.011959222	0.072975	49.0	83.86193299293518
4	-36.591072	2.9220545	-29.0	-42.100002	80.0	200000	-4.656613e-10	0.65372074	-0.010889517	-0.03859523	3.4289865	0.0114207845	0.076875	49.0	105.52886724472046
5	-35.990177	2.3561552	-31.45	-40.850002	80.0	240000	-5.122274e-09	0.64736557	-0.011688241	-0.029433578	3.3961453	0.011183087	0.07385	49.0	126.92388534545898
6	-34.06	3.5165892	-24.95	-40.4	80.0	280000	8.381903e-09	0.65304625	-0.008117694	-0.053728618	3.3390765	0.016406868	0.091775	16.0	147.4115390777588
7	-33.649193	2.7351284	-26.45	-40.600002	80.0	320000	9.313226e-09	0.5713916	-0.012689905	-0.036935356	3.299439	0.00993458	0.075275004	49.0	169.6092004776001
8	-32.557816	3.1964607	-24.45	-37.850002	80.0	360000	1.8626451e-09	0.5716012	-0.01412444	-0.030241877	3.24469	0.01020154	0.082100004	49.0	192.2132225036621
9	-32.025394	4.087038	-19.85	-40.95	80.0	400000	2.3283064e-09	0.56371206	-0.014691832	-0.030322775	3.194357	0.009381005	0.085525	49.0	214.4191770553589
10	-31.45547	4.5732503	-16.95	-37.5	80.0	440000	0.0	0.59931034	-0.016162083	-0.033710554	3.1639304	0.010600608	0.10655	49.0	237.1753933429718
11	-29.329851	6.147303	-11.200001	-39.3	80.0	480000	-8.8475645e-09	0.7264993	-0.015806763	-0.037986405	3.1061385	0.010542735	0.09379999	49.0	260.59573101997375
12	-28.063972	6.8942003	-7.7	-37.25	80.0	520000	1.0244548e-08	0.758236	-0.016446281	-0.04682914	3.0375319	0.008600689	0.08485	49.0	283.64330983161926
13	-26.105225	9.619667	2.3999999	-38.350002	80.0	560000	3.7252903e-09	1.1774672	-0.015925651	-0.08710374	2.9980304	0.010313064	0.09945001	49.0	306.8137981891632
14	-23.572536	8.87974	-2.4000003	-36.25	80.0	600000	1.1641532e-08	1.1885172	-0.01580978	-0.06598445	2.9352067	0.008224803	0.082675	49.0	330.5441722869873
