Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-627.17505	18.213528	-605.8	-661.95	100.0	8.0	70.0	-4.656613e-10	4.7747326	-0.004336995	-3.582124	3.4895754	0.014764935	0.04280833	49.0	154.52884197235107
1	-605.9875	14.949243	-581.15	-635.4	100.0	16.0	3.0	4.5401976e-09	1.2635715	-0.0032615245	-0.35971808	3.4478798	0.013906993	0.052991666	49.0	209.68572187423706
2	-606.9	14.837956	-578.95	-623.10004	100.0	24.0	42.0	-1.0477379e-08	0.954526	-0.003767393	-0.023481578	3.4182498	0.014060238	0.05576667	49.0	323.9490268230438
3	-599.4	7.898977	-586.3	-611.65	100.0	32.0	39.0	1.3562385e-08	0.8771206	-0.0022857129	-0.02483315	3.373808	0.012105557	0.11223333	49.0	434.9487941265106
4	-589.875	14.648268	-560.10004	-616.9	100.0	40.0	92.0	1.3329554e-08	0.8158115	-0.0029028747	-0.032792687	3.3265185	0.010623554	0.0325	49.0	630.2276108264923
5	-592.6312	9.077063	-580.45	-608.7	100.0	48.0	254.0	-1.094304e-08	0.7534009	-0.0026162905	-0.058772273	3.244226	0.0068224818	0.01825	49.0	1079.5888268947601
6	-577.9938	4.490161	-572.25	-585.9	100.0	56.0	405.0	4.307367e-09	0.67766166	-0.003930508	-0.056225084	3.1578927	0.010756968	0.037991665	49.0	1762.7849090099335
7	-579.78125	6.655069	-570.10004	-589.45	100.0	64.0	798.0	-5.9371814e-09	0.6593823	-0.0042037214	-0.08306951	3.0806892	0.011136381	0.052933335	49.0	3044.289976835251
