Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
1880	577.2275	77.18775	685.6	337.45	73.75	55 min 7 sec
1900	564.1225	96.15303	662.75	296.15	77.5	55 min 43 sec
1920	487.75006	163.2257	673.45	72.65	78.3	56 min 22 sec
1940	484.09003	122.764984	620.6	244.4	80.0	56 min 57 sec
1960	489.1775	156.12259	658.45	155.8	77.5	57 min 32 sec
1980	492.64005	173.031	675.65	89.549995	77.85	58 min 6 sec
2000	511.27008	114.86177	614.4	231.95	80.0	58 min 40 sec
2020	549.7025	95.43342	647.1	285.35	78.95	59 min 13 sec
2040	455.15747	207.5896	662.6	32.949997	76.65	59 min 46 sec
2060	557.78503	107.53309	681.85	248.0	75.25	1 h 0 min
2080	500.6275	121.60966	641.55	237.7	78.8	1 h 0 min
2100	512.41003	128.43695	659.2	173.8	78.3	1 h 1 min
2120	520.1275	173.81305	683.9	39.149998	73.8	1 h 1 min
2140	520.0275	112.8073	665.2	227.75	77.1	1 h 2 min
2160	528.9501	129.9952	673.4	215.09999	77.4	1 h 3 min
2180	499.68744	136.4863	674.15	232.15	78.15	1 h 3 min
2200	553.7425	118.65175	671.85	156.35	75.7	1 h 4 min
2220	547.5025	126.426926	671.5	200.4	75.25	1 h 4 min
2240	497.125	145.82924	612.2	105.6	79.85	1 h 5 min
2260	498.09	167.31558	645.9	85.799995	77.9	1 h 5 min
2280	565.06	109.33371	678.35	246.1	72.0	1 h 6 min
2300	539.76	147.22194	677.3	73.5	73.35	1 h 6 min
2320	518.475	124.36102	655.6	253.45	77.45	1 h 7 min
2340	525.1675	130.87941	676.85	173.8	74.8	1 h 7 min
2360	506.22998	164.82396	664.75	34.05	77.15	1 h 8 min
2380	525.30994	138.4081	654.7	177.15	76.3	1 h 9 min
2400	506.69	147.63527	659.85	161.65	78.75	1 h 9 min
2420	466.27252	155.01733	633.0	90.5	79.7	1 h 10 min
2440	577.77997	69.1057	667.55	369.65	76.35	1 h 10 min
2460	553.475	99.340355	675.5	236.5	76.5	1 h 11 min
2480	521.2175	144.69478	658.25	139.8	77.4	1 h 12 min
2500	492.305	150.41568	670.05	215.95	77.75	1 h 12 min
2520	614.62	32.318783	682.85	527.8	73.4	1 h 13 min
2540	515.97754	146.76271	607.55	163.4	80.0	1 h 13 min
2560	502.8225	133.5965	676.1	197.55	77.55	1 h 14 min
2580	483.8625	130.74081	633.9	260.55	78.9	1 h 15 min
2600	484.25253	192.01231	620.95	-7.7500014	80.0	1 h 15 min
2620	448.24747	206.64178	679.0	115.45	76.15	1 h 16 min
2640	555.6475	113.17538	653.0	134.25	77.55	1 h 16 min
2660	560.37506	107.20939	644.8	197.4	79.3	1 h 17 min
2680	538.16504	179.91411	650.9	-6.950001	78.15	1 h 18 min
2700	540.44495	112.48038	664.05	260.95	75.45	1 h 18 min
2720	450.43253	155.01695	672.0	142.05	78.2	1 h 19 min
2740	542.25006	172.54175	680.45	84.649994	69.45	1 h 19 min
2760	481.8675	175.81871	674.3	134.75	72.95	1 h 20 min
