Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
8800	146.807	46.360825	221.95	-1.8500007	60.0	1 h 24 min 52 sec
8900	155.562	41.81609	223.15	8.65	60.0	1 h 25 min 51 sec
9000	144.43901	40.499737	214.7	33.5	60.0	1 h 26 min 50 sec
9100	150.49748	36.195305	213.05	26.4	60.0	1 h 27 min 46 sec
9200	144.6685	41.0938	229.7	12.45	60.0	1 h 28 min 45 sec
9300	150.79251	37.81468	218.95	36.7	60.0	1 h 29 min 44 sec
9400	153.1405	42.66886	224.9	53.1	60.0	1 h 30 min 43 sec
9500	160.26349	44.785976	232.95	47.5	60.0	1 h 31 min 42 sec
9600	157.0025	40.14641	235.15	37.05	60.0	1 h 32 min 40 sec
9700	160.51498	45.40649	242.8	11.799999	60.0	1 h 33 min 35 sec
9800	153.88402	41.790054	231.6	41.95	60.0	1 h 34 min 28 sec
9900	163.0535	42.335266	234.35	24.75	60.0	1 h 35 min 24 sec
10000	158.79298	43.58001	246.95	0.4499995	60.0	1 h 36 min 20 sec
10100	153.023	49.23496	235.7	10.099999	60.0	1 h 37 min 18 sec
10200	161.273	39.647842	238.3	40.85	60.0	1 h 38 min 15 sec
10300	162.221	43.032593	253.35	33.25	59.99	1 h 39 min 14 sec
10400	155.23949	45.928905	247.45	30.55	60.0	1 h 40 min 13 sec
10500	167.316	43.32057	236.45	32.15	60.0	1 h 41 min 10 sec
10600	160.683	46.279278	243.65	31.65	60.0	1 h 42 min 8 sec
10700	169.12502	46.848198	234.65	-26.4	60.0	1 h 43 min 6 sec
10800	177.61801	39.069656	239.35	68.2	60.0	1 h 44 min 6 sec
10900	174.0515	43.387424	245.65	35.8	60.0	1 h 45 min 5 sec
11000	166.37648	45.81443	245.4	13.1	60.0	1 h 46 min 4 sec
11100	171.11398	42.88904	255.35	2.05	59.87	1 h 47 min 2 sec
11200	170.84349	41.224857	244.7	45.0	60.0	1 h 48 min 1 sec
11300	162.24998	41.602524	237.25	36.25	60.0	1 h 49 min 0 sec
11400	163.6175	40.820866	249.6	48.5	60.0	1 h 49 min 58 sec
11500	168.03348	38.18793	235.9	65.7	60.0	1 h 50 min 55 sec
11600	170.2675	46.793106	258.75	20.099998	59.86	1 h 51 min 51 sec
11700	160.0265	55.89574	261.6	-0.65000135	59.8	1 h 52 min 47 sec
11800	163.0795	47.105488	237.65	34.25	60.0	1 h 53 min 44 sec
11900	161.55649	53.14568	236.5	4.2499995	60.0	1 h 54 min 43 sec
12000	168.05698	45.346092	242.85	54.0	60.0	1 h 55 min 41 sec
12100	172.18898	48.072887	253.3	42.7	59.93	1 h 56 min 39 sec
12200	173.116	45.049828	238.15	-15.150001	60.0	1 h 57 min 38 sec
12300	168.7935	48.5233	242.25	-0.65	60.0	1 h 58 min 36 sec
12400	173.21053	50.80143	256.85	-17.0	59.87	1 h 59 min 34 sec
12500	176.74101	46.220932	270.85	35.55	59.4	2 h 0 min 32 sec
12600	181.4565	42.0095	248.05	91.1	59.87	2 h 1 min 31 sec
12700	164.81	50.20289	238.8	-30.0	60.0	2 h 2 min 30 sec
12800	172.02753	44.821636	237.7	32.3	60.0	2 h 3 min 29 sec
12900	169.762	46.71181	235.6	2.749999	60.0	2 h 4 min 26 sec
13000	172.09251	49.691376	255.95	2.0999994	59.86	2 h 5 min 25 sec
13100	174.4115	43.68153	248.7	64.6	59.98	2 h 6 min 23 sec
13200	170.73851	47.402122	246.55	51.2	60.0	2 h 7 min 22 sec
13300	181.464	45.231205	265.6	40.05	59.6	2 h 8 min 19 sec
13400	167.32701	51.682068	242.35	13.699999	60.0	2 h 9 min 15 sec
13500	188.14153	39.43994	257.65	60.3	59.65	2 h 10 min 10 sec
13600	186.47652	40.048088	260.9	59.6	59.81	2 h 11 min 5 sec
13700	180.69449	40.124374	259.35	49.05	59.88	2 h 12 min 2 sec
13800	176.64748	48.26658	256.4	-19.750002	59.9	2 h 13 min 0 sec
13900	173.4995	48.33669	245.55	4.6	60.0	2 h 14 min 0 sec
14000	162.4285	56.54068	240.1	15.65	60.0	2 h 14 min 58 sec
14100	173.7565	45.61025	237.45	34.9	60.0	2 h 15 min 58 sec
14200	175.50351	43.804222	250.3	54.1	60.0	2 h 16 min 58 sec
14300	183.82501	43.89971	262.25	33.35	59.8	2 h 17 min 56 sec
14400	174.03302	48.69467	271.25	43.899998	59.47	2 h 18 min 55 sec
14500	181.03453	48.29699	257.7	31.3	59.8	2 h 19 min 53 sec
14600	177.28702	42.122643	248.95	16.9	60.0	2 h 20 min 51 sec
14700	163.346	53.457367	253.4	-22.6	59.85	2 h 21 min 49 sec
14800	180.28448	44.77244	247.8	0.049998976	59.98	2 h 22 min 48 sec
14900	183.03752	45.654114	246.25	-0.50000024	60.0	2 h 23 min 47 sec
15000	166.6745	51.75425	244.75	43.3	60.0	2 h 24 min 47 sec
15100	187.075	44.65138	262.7	-9.8	59.68	2 h 25 min 44 sec
15200	183.71748	47.08088	256.25	63.2	59.83	2 h 26 min 41 sec
15300	188.68451	43.94851	247.85	37.7	60.0	2 h 27 min 37 sec
15400	174.2765	44.74271	248.95	67.2	59.98	2 h 28 min 31 sec
15500	177.80449	43.95702	258.8	58.35	59.85	2 h 29 min 29 sec
15600	173.80699	45.718723	262.0	74.0	59.81	2 h 30 min 28 sec
15700	172.41246	47.96219	264.25	1.4499997	59.8	2 h 31 min 27 sec
15800	176.50601	50.24371	244.35	-13.55	60.0	2 h 32 min 25 sec
15900	176.74051	41.997627	247.95	9.15	60.0	2 h 33 min 23 sec
16000	179.5515	52.388607	264.65	25.599998	59.31	2 h 34 min 21 sec
16100	187.42	42.171062	263.9	53.45	59.7	2 h 35 min 19 sec
16200	178.06	46.84993	259.35	48.3	59.87	2 h 36 min 19 sec
16300	178.16301	54.169624	261.25	7.9499993	59.58	2 h 37 min 16 sec
16400	182.011	42.920155	266.05	48.5	59.73	2 h 38 min 15 sec
16500	173.9455	45.116146	244.9	3.7999997	60.0	2 h 39 min 13 sec
16600	173.51953	55.463108	260.5	-9.050001	59.57	2 h 40 min 13 sec
16700	180.58302	43.01887	265.45	73.6	59.61	2 h 41 min 11 sec
16800	176.96553	50.46522	252.45	7.0	59.96	2 h 42 min 11 sec
16900	181.90302	45.663048	238.85	22.45	60.0	2 h 43 min 9 sec
17000	181.56952	42.603943	255.35	44.2	59.94	2 h 44 min 6 sec
17100	178.47902	46.832436	247.3	7.35	60.0	2 h 45 min 2 sec
17200	171.6075	50.184513	241.4	-7.3000007	60.0	2 h 46 min 0 sec
17300	175.9105	51.181942	263.55	40.25	59.72	2 h 46 min 57 sec
17400	176.18901	48.90481	248.85	4.0000005	60.0	2 h 47 min 54 sec
