Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-112.060425	7.5293527	-94.15	-133.15001	80.0	120000	6.146729e-08	2.8230474	-0.005290378	-2.0141883	3.4896314	0.0081288805	0.024758333	49.0	21.67423963546753
1	-110.65612	6.975816	-92.75	-129.6	80.0	240000	-1.2572855e-08	0.8871521	-0.0058195135	-0.011599459	3.4797108	0.007990135	0.027991667	49.0	43.424858808517456
2	-109.078125	6.60724	-86.6	-122.3	80.0	360000	-1.792796e-08	0.9478164	-0.00616583	-0.0055536553	3.4701185	0.008675713	0.036808334	49.0	64.28112268447876
3	-108.15613	7.1559706	-91.3	-122.15	80.0	480000	2.2118911e-09	0.93412364	-0.0059460597	-0.0049597323	3.4529285	0.008129429	0.030225	49.0	85.21849417686462
4	-103.95785	7.4443774	-81.25	-117.25	80.0	600000	-1.4901161e-08	0.9307635	-0.0062418645	-0.007468894	3.4395323	0.00838504	0.041500002	49.0	106.16569328308105
5	-101.055885	8.095512	-81.05	-120.05	80.0	720000	-6.9849193e-09	1.0594515	-0.0064789625	-0.0052277297	3.425508	0.0076140463	0.041725002	49.0	127.21316075325012
6	-100.09601	9.146894	-70.5	-119.4	80.0	840000	-3.958121e-09	1.0414734	-0.0067356033	-0.00572671	3.3971467	0.0076162033	0.047333334	49.0	147.7632966041565
7	-95.52358	9.093485	-78.65	-118.55	80.0	960000	-9.778887e-09	1.2781174	-0.0066084815	-0.014456049	3.3683581	0.0074194763	0.048116665	49.0	168.36748337745667
8	-89.479095	11.172774	-46.100002	-109.450005	80.0	1080000	-1.071021e-08	1.5324922	-0.007673625	-0.016781941	3.3368745	0.008059225	0.053941667	49.0	188.99933052062988
9	-83.68392	13.935111	-54.55	-109.200005	80.0	1200000	7.450581e-09	1.784317	-0.0069111586	-0.012634024	3.289682	0.0068364884	0.048483334	49.0	209.69769644737244
10	-76.14821	16.00165	-37.95	-102.3	80.0	1320000	5.5879354e-09	2.2806602	-0.0075632944	-0.023472592	3.2468486	0.008086555	0.056833334	49.0	230.48437881469727
11	-68.29911	16.738743	-39.350002	-103.65	80.0	1440000	-7.450581e-09	3.2981744	-0.0071532456	-0.04211223	3.1858912	0.008073434	0.05403333	49.0	251.17234349250793
12	-55.38393	29.874779	20.15	-111.450005	80.0	1560000	-4.656613e-09	4.4052997	-0.0077344542	-0.040196523	3.1123652	0.008365056	0.06648333	49.0	271.99904346466064
13	-45.86607	23.574682	15.95	-99.8	80.0	1680000	-7.450581e-09	6.9637184	-0.0070566745	-0.15304941	3.0408645	0.008002883	0.059100002	49.0	292.94171166419983
