Episode	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Time
1640	-135.3675	64.23012	-11.200004	-235.25	100.0	1 h 59 min 55 sec
1660	-171.60251	49.38718	-60.600006	-291.75	100.0	2 h 1 min 38 sec
1680	-148.05998	55.57929	-0.85000443	-273.35	100.0	2 h 3 min 21 sec
1700	-145.56	52.005516	-42.400005	-224.15001	100.0	2 h 4 min 59 sec
1720	-156.3425	52.007534	-28.450006	-237.65001	100.0	2 h 6 min 38 sec
1740	-141.5725	48.37709	-38.350006	-211.05	100.0	2 h 8 min 20 sec
1760	-140.45749	45.237335	-59.250004	-242.15001	100.0	2 h 9 min 58 sec
1780	-164.85501	47.152035	-70.950005	-232.55	100.0	2 h 11 min 39 sec
1800	-140.69252	59.439224	-33.000008	-229.35	100.0	2 h 13 min 21 sec
1820	-153.74501	50.436516	-58.500004	-251.15001	100.0	2 h 15 min 5 sec
1840	-133.50002	66.73052	21.799994	-253.95001	100.0	2 h 16 min 52 sec
1860	-134.36002	61.84435	-6.550006	-290.5	100.0	2 h 18 min 44 sec
1880	-139.41	63.580494	39.449993	-228.3	100.0	2 h 20 min 25 sec
1900	-139.13998	49.09436	-32.500004	-208.90001	100.0	2 h 22 min 7 sec
1920	-141.435	55.921997	-24.650005	-243.1	100.0	2 h 23 min 47 sec
1940	-108.88251	72.098045	6.8999944	-238.1	100.0	2 h 25 min 27 sec
1960	-138.51001	55.724274	-37.950005	-271.75	100.0	2 h 27 min 5 sec
1980	-109.165016	64.1648	18.849995	-216.25	100.0	2 h 28 min 46 sec
2000	-140.91751	49.188877	-49.550003	-230.8	100.0	2 h 30 min 36 sec
2020	-124.57002	76.18152	5.4499936	-360.85	100.0	2 h 32 min 28 sec
2040	-108.3725	67.977844	22.299994	-220.90001	100.0	2 h 34 min 22 sec
2060	-102.64751	73.83842	117.799995	-220.85	100.0	2 h 36 min 13 sec
2080	-101.99501	71.69623	65.99999	-226.05	100.0	2 h 38 min 7 sec
2100	-104.84499	55.70821	-26.250008	-212.95001	100.0	2 h 39 min 55 sec
2120	-115.2375	54.642597	19.849993	-205.90001	100.0	2 h 41 min 40 sec
2140	-123.15501	45.38097	-20.700008	-207.1	100.0	2 h 43 min 29 sec
