Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
35	-10.021233	28.934456	55.0	-37.05	80.0	1440000	1.8626451e-09	2.5462136	-0.005442457	-0.13030398	2.2773635	0.0059621944	0.040775	49.0	297.11021089553833
36	-14.555799	30.255827	64.1	-37.75	80.0	1480000	1.8626451e-09	1.804154	-0.005788585	-0.10685651	2.2147627	0.0071609346	0.040774997	49.0	305.42011737823486
37	-6.6226034	32.022705	60.6	-37.25	80.0	1520000	-1.8626451e-09	2.4667525	-0.005217433	-0.13361657	2.1966612	0.0073236465	0.041050002	49.0	313.85182547569275
38	-10.377923	28.672983	61.65	-35.7	80.0	1560000	-1.6298145e-09	2.3457727	-0.0053464947	-0.09694983	2.1660874	0.0056539336	0.041249998	49.0	322.1917231082916
39	-2.383117	33.15043	61.95	-38.2	80.0	1600000	2.3283064e-10	3.025713	-0.00570934	-0.15048611	2.1406922	0.0077052815	0.041150004	49.0	330.7419362068176
40	-5.7428575	29.300238	56.3	-35.5	80.0	1640000	-9.313226e-10	2.4285493	-0.005826936	-0.092038006	2.132523	0.005413773	0.026975	49.0	339.1529483795166
41	-12.995455	28.807005	63.45	-37.600002	80.0	1680000	-1.3969839e-09	2.2210424	-0.0046750084	-0.07625293	2.0604968	0.00709895	0.0238	49.0	347.6809768676758
42	-3.7193756	31.825043	60.95	-34.100002	80.0	1720000	-7.683411e-09	2.6545944	-0.0059068594	-0.12605003	2.1025155	0.007632577	0.03795	49.0	356.2006766796112
43	-6.193211	29.748148	57.75	-34.5	80.0	1760000	4.656613e-10	2.4244018	-0.004924575	-0.08777729	2.0699606	0.004835259	0.025775	49.0	364.79225039482117
44	-1.5783138	31.067415	62.35	-34.15	80.0	1800000	4.1909516e-09	2.6535215	-0.0044634454	-0.10048218	2.0154214	0.006248577	0.032224998	49.0	373.2229874134064
45	-3.3006096	31.158293	63.0	-37.100002	80.0	1840000	-3.7252903e-09	2.6835089	-0.005547528	-0.101004764	1.9985557	0.0059166905	0.039	49.0	381.76432490348816
46	3.6697524	35.48637	61.55	-36.850002	80.0	1880000	-3.7252903e-09	2.819151	-0.005290067	-0.121378526	1.940865	0.005569269	0.030375002	49.0	390.15383672714233
47	0.23795135	32.847004	67.55	-34.75	80.0	1920000	-3.7252903e-09	2.8018208	-0.0061662337	-0.08901101	1.8932686	0.0050176852	0.03515	49.0	398.7756028175354
48	-1.8443753	33.272076	70.45	-37.45	80.0	1960000	2.7939677e-09	2.4898481	-0.0051540397	-0.06123437	1.8279923	0.0067745177	0.030125	49.0	407.17043566703796
49	-0.8839749	32.15607	61.8	-36.350002	80.0	2000000	0.0	2.6411822	-0.005732741	-0.069745734	1.7801415	0.006317121	0.036475	49.0	415.66812539100647
50	1.3192302	34.860203	70.9	-36.3	80.0	2040000	9.313226e-10	2.4096591	-0.0041894624	-0.07242341	1.7466567	0.0041120425	0.02455	49.0	424.1830322742462
51	-3.3756256	30.731007	54.45	-39.45	80.0	2080000	3.7252903e-09	2.3795354	-0.004428058	-0.10965881	1.6969473	0.0035314555	0.0246	49.0	432.6850674152374
52	1.8031635	32.47098	65.35	-36.8	80.0	2120000	5.5879354e-09	2.3743362	-0.005367301	-0.08021355	1.6416185	0.004269478	0.033699997	49.0	440.9984931945801
53	-0.43400085	34.069576	64.35	-36.65	80.0	2160000	-4.1909516e-09	2.2015836	-0.0051831147	-0.086548105	1.6553802	0.0042543286	0.036575	49.0	449.48439836502075
