Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-337.58438	8.992354	-322.95	-351.6	100.0	16.0	12.0	5.8556907e-08	5.6751113	-0.0051842746	-4.446729	3.4898212	0.015022503	0.067375004	34.0	56.325549602508545
1	-327.67816	10.39369	-310.4	-343.35	100.0	32.0	0.0	-2.0721927e-08	1.7617735	-0.002993716	-0.6546946	3.468038	0.012676288	0.029416667	49.0	85.93661522865295
2	-324.96564	6.178359	-310.7	-333.55002	100.0	48.0	0.0	-2.6775524e-09	1.1626098	-0.0032192569	-0.028920427	3.447732	0.014505049	0.042000003	49.0	116.04982542991638
3	-318.81873	8.604212	-302.9	-335.1	100.0	64.0	3.0	-8.381903e-09	1.0845089	-0.0034423145	-0.04163678	3.4211903	0.015123542	0.07365833	44.0	154.42967557907104
4	-316.0375	5.3095884	-306.75	-324.85	100.0	80.0	0.0	1.1874363e-08	0.9205371	-0.0027875486	-0.04244647	3.3781605	0.01313011	0.054958336	49.0	186.5707986354828
5	-309.8844	6.119658	-298.45	-323.45	100.0	96.0	5.0	-1.3329554e-08	0.77151823	-0.003501357	-0.03895756	3.3178625	0.01352701	0.039550003	49.0	227.64246726036072
6	-304.61563	5.2731266	-294.7	-311.80002	100.0	112.0	13.0	3.0267984e-09	0.6979348	-0.00484565	-0.18671885	3.220417	0.013057844	0.09638333	49.0	293.0429208278656
7	-301.075	3.8924618	-295.45	-308.75	100.0	128.0	45.0	2.561137e-09	0.64774406	-0.0053052665	-0.22657798	3.1476283	0.012157213	0.049433332	49.0	441.2086100578308
8	-295.6969	4.884079	-285.85	-303.80002	100.0	144.0	31.0	-2.7939677e-08	0.5215464	-0.005341376	-0.12247421	3.04808	0.012435088	0.07626667	49.0	555.9536125659943
9	-293.53125	4.6769304	-287.2	-300.0	100.0	160.0	150.0	-7.450581e-09	0.45790797	-0.003816884	-0.08194941	2.9813905	0.012358663	0.113350004	49.0	1001.2934455871582
10	-290.58438	4.0893035	-281.1	-295.80002	100.0	176.0	158.0	-2.3283064e-08	0.50796187	-0.003503095	-0.1136869	2.8618367	0.010810785	0.042883333	49.0	1478.5403819084167
11	-290.20938	3.1840534	-285.05002	-296.05002	100.0	192.0	13.0	8.381903e-09	0.40452015	-0.0036578134	-0.02525045	2.7580814	0.011926091	0.1017	49.0	1545.604633808136
12	-289.57812	4.55837	-280.25	-298.0	100.0	208.0	48.0	2.0954758e-09	0.39994943	-0.0034472079	-0.018383797	2.6373901	0.015249936	0.18859166	24.0	1709.3500001430511
13	-289.6875	4.1198273	-279.5	-295.2	100.0	224.0	94.0	1.2805685e-09	0.3826071	-0.0032816455	-0.027550962	2.5359094	0.014620605	0.11751667	49.0	2005.3043458461761
14	-290.72186	3.2954519	-284.9	-295.2	100.0	240.0	95.0	5.7625584e-09	0.38456595	-0.0029563135	-0.031965066	2.3917027	0.008107983	0.087400004	49.0	2303.5286145210266
15	-288.2219	3.849835	-281.85	-295.7	100.0	256.0	0.0	-6.2354957e-09	0.37444982	-0.0030142644	-0.021565113	2.323773	0.0072800415	0.050616667	49.0	2337.1982791423798
16	-290.325	4.2573833	-279.85	-296.55002	100.0	272.0	0.0	-1.7462298e-09	0.37076896	-0.0032459775	-0.007566195	2.2559404	0.009672646	0.073599994	49.0	2366.9739241600037
17	-288.82812	2.9097362	-284.9	-294.45	100.0	288.0	0.0	4.3655746e-10	0.3639974	-0.0028795628	-0.0051368587	2.212401	0.009316763	0.053508334	49.0	2396.330406665802
18	-290.12814	2.9282544	-283.6	-294.25	100.0	304.0	0.0	-1.1292286e-08	0.36689195	-0.0023564463	-0.005419418	2.1612794	0.008368535	0.049816668	49.0	2425.8216733932495
19	-290.5031	2.4904444	-284.75	-294.65	100.0	320.0	0.0	1.4115358e-08	0.38211006	-0.0023289202	-0.004850168	2.1042314	0.011955895	0.039825	49.0	2455.2362937927246
20	-290.85004	4.175039	-277.25	-296.30002	100.0	336.0	16.0	1.6298145e-09	0.40088525	-0.0024185209	-0.0051786453	2.1357322	0.011319525	0.045325004	49.0	2529.651120185852
21	-291.6969	2.959494	-286.9	-296.45	100.0	352.0	7.0	-4.656613e-10	0.4391048	-0.0026289145	-0.022370182	2.042595	0.010499202	0.08415	49.0	2577.5892894268036
