Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-41.76518	3.2912345	-32.600002	-46.5	80.0	40000	3.7252903e-09	4.656368	-0.014657412	-3.799063	3.4918408	0.010734644	0.094574995	49.0	20.660778999328613
1	-40.09018	3.1664033	-31.5	-44.4	80.0	80000	1.3969839e-09	0.7231676	-0.012740912	-0.06633936	3.4816246	0.009916477	0.06895	49.0	41.98351502418518
2	-39.613396	2.5052354	-33.55	-43.3	80.0	120000	-1.0477379e-08	0.4406507	-0.016330201	-0.064290024	3.4622526	0.009033453	0.1095	49.0	59.7977180480957
3	-38.78	2.166157	-31.95	-42.55	80.0	160000	9.778887e-09	0.3736641	-0.018433023	-0.080175295	3.4334974	0.01079061	0.136475	49.0	77.59240460395813
4	-36.958035	2.5123405	-30.5	-41.05	80.0	200000	3.7252903e-09	0.3525533	-0.018141603	-0.033810627	3.3988428	0.010570207	0.12744999	49.0	95.53844904899597
5	-36.116966	2.677157	-27.4	-40.600002	80.0	240000	9.313226e-09	0.3943361	-0.019869817	-0.023441885	3.364386	0.011562953	0.13095	49.0	113.25404000282288
6	-34.916073	3.729912	-22.800001	-39.850002	80.0	280000	-1.0244548e-08	0.4236588	-0.020182714	-0.021491531	3.3277898	0.01050601	0.12555	49.0	131.0333263874054
7	-32.54732	6.3195305	-17.75	-39.2	80.0	320000	0.0	0.69364464	-0.021675799	-0.031183258	3.2941463	0.0088662505	0.14177501	49.0	149.15510272979736
8	-29.939287	8.137747	-8.35	-38.7	80.0	360000	6.0535967e-09	0.696092	-0.022049539	-0.02350644	3.2510095	0.009717173	0.1282	49.0	170.16289639472961
9	-28.188395	10.579403	3.8500001	-38.350002	80.0	400000	-7.450581e-09	1.1945944	-0.02233829	-0.08314545	3.208497	0.010169366	0.129475	49.0	190.68578219413757
10	-23.370535	17.430042	26.7	-38.850002	80.0	440000	-1.1175871e-08	2.36063	-0.021944355	-0.19606304	3.1660142	0.010788538	0.12095	49.0	211.63110041618347
11	-18.342855	19.979067	30.300001	-37.8	80.0	480000	-1.8626451e-09	3.0568237	-0.022573464	-0.16171011	3.1218724	0.010385504	0.136675	49.0	230.9258210659027
12	-9.1910715	29.115171	40.1	-38.65	80.0	520000	-1.1175871e-08	5.11635	-0.02132518	-0.48958063	3.0799088	0.010578847	0.132875	49.0	248.8923373222351
13	-1.5794646	32.066982	53.45	-38.350002	80.0	560000	5.5879354e-09	6.1396103	-0.020432979	-0.48380592	3.028737	0.010462664	0.1226	49.0	266.9320316314697
14	2.7678564	36.72865	75.4	-37.600002	80.0	600000	-5.5879354e-09	6.607506	-0.020562792	-0.3795685	2.9986656	0.010303463	0.123500004	49.0	285.2283847332001
15	4.041071	38.35681	84.7	-38.350002	80.0	640000	0.0	7.2498183	-0.02067487	-0.31250823	2.9573355	0.010756366	0.136675	49.0	303.44183468818665
16	1.8678564	42.4062	82.45	-37.8	80.0	680000	7.450581e-09	6.9003496	-0.017811164	-0.5327361	2.924286	0.009272819	0.111425	49.0	321.7162666320801
