Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	EpNum	TrainIter	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
32	-559.92505	6.1890306	-544.7	-569.10004	100.0	528.0	0.0	1.3387762e-09	0.43571708	-0.006047708	-0.01959996	2.4791298	0.0061410596	0.045685	49.0	33625.44060373306
33	-556.59064	11.331193	-519.9	-572.25	100.0	544.0	0.0	-6.9849193e-10	0.49816573	-0.0057864143	-0.024541806	2.4285822	0.005562017	0.041965	49.0	33695.669964551926
34	-549.41876	14.301257	-516.0	-572.95	100.0	560.0	0.0	-9.895302e-09	0.5457553	-0.0059795184	-0.020348929	2.4009857	0.005487659	0.0347	49.0	33767.8818025589
35	-543.5594	15.190473	-509.25	-563.9	100.0	576.0	0.0	2.910383e-09	0.66329366	-0.0060835523	-0.03322611	2.374953	0.0057290937	0.036945	49.0	33838.86689567566
36	-523.64374	17.968575	-478.80002	-551.10004	100.0	592.0	0.0	4.656613e-10	0.8126263	-0.00697612	-0.044926986	2.337951	0.005934133	0.048255	49.0	33909.533994197845
37	-506.91876	34.667667	-422.55002	-557.0	100.0	608.0	0.0	-3.958121e-09	1.1364412	-0.0059505245	-0.06679765	2.306827	0.0058860322	0.039185002	49.0	33979.841391801834
38	-476.65314	43.814583	-405.6	-552.2	100.0	624.0	0.0	-2.7939677e-09	1.7404225	-0.006185545	-0.110275924	2.274547	0.0056928587	0.04329	49.0	34056.172016859055
39	-450.17813	43.778873	-380.15	-551.4	100.0	640.0	0.0	3.0267984e-09	1.9556444	-0.006496899	-0.11775106	2.2610667	0.005684786	0.043025002	49.0	34132.29933977127
40	-439.58438	43.191612	-355.75	-512.25	100.0	656.0	0.0	-1.8626451e-09	2.1493437	-0.006007969	-0.0790032	2.2434397	0.005037494	0.03741	49.0	34207.78527355194
41	-422.27814	66.222496	-273.30002	-534.8	100.0	672.0	0.0	-5.5879354e-09	2.355748	-0.0056784414	-0.08236343	2.2246513	0.005478306	0.033775	49.0	34282.04523611069
